Interstate Route,State
H-201,Hawaii
I-105,California
I-105,Oregon
I-110,California
I-110,Texas
I-110,Louisiana
I-110,Mississippi
I-110,Florida
I-115,Montana
I-124,Tennessee
I-126,South Carolina
I-129,Iowa
I-129,Nebraska
I-135,Kansas
I-140,Tennessee
I-140,North Carolina
I-155,Illinois
I-155,Missouri
I-155,Tennessee
I-165,Alabama
I-165,Kentucky
I-169,Texas
I-170,Missouri
I-172,Illinois
I-175,Florida
I-176,Pennsylvania
I-180,Wyoming
I-180,Nebraska
I-180,Illinois
I-180,Pennsylvania
I-182,Washington
I-184,Idaho
I-185,Georgia
I-185,South Carolina
I-189,Vermont
I-190,South Dakota
I-190,Illinois
I-190,New York
I-190,Massachusetts
I-194,North Dakota
I-194,Michigan
I-195,Florida
I-195,Virginia
I-195,Maryland
I-195,New Jersey
I-195,Rhode Island
I-195,Massachusetts
I-195,Maine
I-196,Michigan
I-205,California
I-205,Oregon
I-205,Washington
I-210,California
I-210,Louisiana
I-215,California
I-215,Utah
I-215,Nevada
I-220,Louisiana
I-220,Mississippi
I-225,Colorado
I-229,Missouri
I-229,South Dakota
I-235,Oklahoma
I-235,Kansas
I-235,Iowa
I-238,California
I-240,Oklahoma
I-240,Tennessee
I-240,North Carolina
I-244,Oklahoma
I-255,Missouri
I-255,Illinois
I-264,Kentucky
I-264,Virginia
I-265,Kentucky
I-265,Indiana
I-269,Tennessee
I-269,Mississippi
I-270,Colorado
I-270,Missouri
I-270,Illinois
I-270,Ohio
I-270,Maryland
I-271,Ohio
I-275,Florida
I-275,Tennessee
I-275,Kentucky
I-275,Ohio
I-275,Indiana
I-275,Michigan
I-276,Pennsylvania
I-277,North Carolina
I-277,Ohio
I-278,New Jersey
I-278,New York
I-279,Pennsylvania
I-280,California
I-280,Iowa
I-280,Illinois
I-280,Ohio
I-280,New Jersey
I-283,Pennsylvania
I-285,Georgia
I-285,North Carolina
I-287,New Jersey
I-287,New York
I-290,Illinois
I-290,New York
I-290,Massachusetts
I-291,Connecticut
I-291,Massachusetts
I-293,New Hampshire
I-294,Illinois
I-295,Florida
I-295,North Carolina
I-295,Virginia
I-295,District of Columbia
I-295,Maine
I-295,Maryland
I-295,Delaware
I-295,New Jersey
I-295,New York
I-295,Rhode Island
I-295,Massachusetts
I-296,Michigan
I-305,California
I-310,Louisiana
I-315,Montana
I-335,Kansas
I-345,Texas
I-355,Illinois
I-359,Alabama
I-369,Texas
I-370,Maryland
I-375,Florida
I-375,Michigan
I-376,Pennsylvania
I-380,California
I-380,Iowa
I-380,Pennsylvania
I-381,Virginia
I-384,Connecticut
I-385,South Carolina
I-390,New York
I-391,Massachusetts
I-393,New Hampshire
I-394,Minnesota
I-395,Florida
I-395,Virginia
I-395,District of Columbia
I-395,Maryland
I-395,Connecticut
I-395,Massachusetts
I-395,Maine
I-405,California
I-405,Oregon
I-405,Washington
I-410,Texas
I-430,Arkansas
I-435,Kansas
I-435,Missouri
I-440,Arkansas
I-440,Tennessee
I-440,North Carolina
I-444,Oklahoma
I-459,Alabama
I-464,Virginia
I-465,Indiana
I-469,Indiana
I-470,Kansas
I-470,Missouri
I-470,Ohio
I-470,West Virginia
I-471,Kentucky
I-471,Ohio
I-474,Illinois
I-475,Georgia
I-475,Ohio
I-475,Michigan
I-476,Pennsylvania
I-478,New York
I-480,Nebraska
I-480,Iowa
I-480,Ohio
I-481,New York
I-485,North Carolina
I-490,Ohio
I-490,New York
I-494,Minnesota
I-495,Virginia
I-495,Maryland
I-495,Delaware
I-495,New York
I-495,Massachusetts
I-495,Maine
I-496,Michigan
I-505,California
I-510,Louisiana
I-515,Nevada
I-516,Georgia
I-520,Georgia
I-520,South Carolina
I-526,South Carolina
I-530,Arkansas
I-535,Minnesota
I-535,Wisconsin
I-540,North Carolina
I-540,Arkansas
I-555,Arkansas
I-564,Virginia
I-565,Alabama
I-575,Georgia
I-579,Pennsylvania
I-580,California
I-580,Nevada
I-581,Virginia
I-585,South Carolina
I-587,New York
I-590,New York
I-595,Maryland
I-595,Florida
I-605,California
I-610,Texas
I-610,Louisiana
I-630,Arkansas
I-635,Texas
I-635,Kansas
I-635,Missouri
I-640,Tennessee
I-664,Virginia
I-670,Kansas
I-670,Missouri
I-670,Ohio
I-675,Georgia
I-675,Ohio
I-675,Michigan
I-676,Pennsylvania
I-676,New Jersey
I-678,New York
I-680,California
I-680,Nebraska
I-680,Iowa
I-680,Ohio
I-684,New York
I-684,Connecticut
I-685,Alabama
I-690,New York
I-691,Connecticut
I-694,Minnesota
I-695,District of Columbia
I-695,Maryland
I-695,New York
I-696,Michigan
I-705,Washington
I-710,California
I-759,Alabama
I-780,California
I-781,New York
I-785,North Carolina
I-787,New York
I-790,New York
I-794,Wisconsin
I-795,Maryland
I-795,North Carolina
I-805,California
I-820,Texas
I-840,North Carolina
I-840,Tennessee
I-865,Indiana
I-878,New York
I-880,California
I-890,New York
I-894,Wisconsin
I-895,Maryland
I-910,Louisiana
I-980,California
I-985,Georgia
I-990,New York
