State,Interstate Highway
Alabama,I-10
Alabama,I-20
Alabama,I-22
Alabama,I-59
Alabama,I-65
Alabama,I-85
Alabama,I-165
Alabama,I-359
Alabama,I-459
Alabama,I-565
Alabama,I-685
Alabama,I-759
Alaska,A-1
Alaska,A-2
Alaska,A-3
Alaska,A-4
Arizona,I-8
Arizona,I-10
Arizona,I-15
Arizona,I-17
Arizona,I-19
Arizona,I-40
Arkansas,I-30
Arkansas,I-40
Arkansas,I-49
Arkansas,I-55
Arkansas,I-430
Arkansas,I-440
Arkansas,I-530
Arkansas,I-540
Arkansas,I-555
Arkansas,I-630
California,I-5
California,I-8
California,I-10
California,I-15
California,I-40
California,I-80
California,I-105
California,I-110
California,I-205
California,I-210
California,I-215
California,I-238
California,I-280
California,I-305
California,I-380
California,I-405
California,I-505
California,I-580
California,I-605
California,I-680
California,I-710
California,I-780
California,I-805
California,I-880
California,I-980
Colorado,I-25
Colorado,I-70
Colorado,I-76
Colorado,I-225
Colorado,I-270
Connecticut,I-84
Connecticut,I-91
Connecticut,I-95
Connecticut,I-291
Connecticut,I-384
Connecticut,I-395
Connecticut,I-684
Connecticut,I-691
Delaware,I-95
Delaware,I-295
Delaware,I-495
District of Columbia,I-66
District of Columbia,I-95
District of Columbia,I-295
District of Columbia,I-395
District of Columbia,I-695
Florida,I-4
Florida,I-10
Florida,I-75
Florida,I-95
Florida,I-110
Florida,I-175
Florida,I-195
Florida,I-275
Florida,I-295
Florida,I-375
Florida,I-395
Florida,I-595
Georgia,I-16
Georgia,I-20
Georgia,I-24
Georgia,I-59
Georgia,I-75
Georgia,I-85
Georgia,I-95
Georgia,I-185
Georgia,I-285
Georgia,I-475
Georgia,I-516
Georgia,I-520
Georgia,I-575
Georgia,I-675
Georgia,I-985
Hawaii,H-1
Hawaii,H-2
Hawaii,H-3
Hawaii,H-201
Idaho,I-15
Idaho,I-84
Idaho,I-86
Idaho,I-90
Idaho,I-184
Illinois,I-24
Illinois,I-39
Illinois,I-41
Illinois,I-55
Illinois,I-57
Illinois,I-64
Illinois,I-70
Illinois,I-72
Illinois,I-74
Illinois,I-80
Illinois,I-88
Illinois,I-90
Illinois,I-94
Illinois,I-155
Illinois,I-172
Illinois,I-180
Illinois,I-190
Illinois,I-255
Illinois,I-270
Illinois,I-280
Illinois,I-290
Illinois,I-294
Illinois,I-355
Illinois,I-474
Indiana,I-64
Indiana,I-65
Indiana,I-69
Indiana,I-70
