State,Abbrev,Twitter Handle - Primary 
Alabama,AL,AlgoTraffic
Alaska,AK,alaska511
Alaska,AK,AlaskaDOTPF
Arizona,AZ,ArizonaDOT
Arkansas,AR,myardot
California,CA,CaltransHQ
Colorado,CO,ColoradoDOT
Connecticut,CT,CTDOT_Statewide
Connecticut,CT,CTDOT_District1
Connecticut,CT,CTDOT_District2
Connecticut,CT,CTDOT_District3
Connecticut,CT,CTDOT_District4
Delaware,DE,DelawareDOT
Florida,FL,FL511_STATE
Florida,FL,FL511_PANHANDL
Florida,FL,FL511_NORTHEAST
Florida,FL,FL511_CENTRAL
Florida,FL,FL511_TAMPABAY
Florida,FL,FL511_SOUTHWEST
Florida,FL,FL511_SOUTHEAST
Georgia,GA,511Georgia
Hawaii,HI,DOTHawaii
Idaho,IA,IdahoITD
Illinois,ID,IDOT_Illinois
Indiana,IL,INDOT
Iowa,IN,iowadot
Kansas,KS,KDOTTransit
Kentucky,KY,KYTC
Louisiana,LA,La_DOTD
Maine,MA,MaineDOT1
Maryland,MD,MDOTNews
Massachusetts,ME,MassDOT
Michigan,MI,MichiganDOT
Minnesota,MN,MnDOTNEws
Mississippi,MS,MississippiDot
Missouri,MO,MoDOT
Montana,MT,mdtroadreport
Nebraska,NE,nebraska511
Nevada,NV,nevadadot
New Hampshire,NH,NewHampshireDOT
New Jersey,NJ,511nynj
New Mexico,NJ,NMDOT
New York,NY,511NY
New York,NY,511nyRochester
New York,NY,511nyalbany
New York,NY,511nywny
New York,NY,511nymidhudson
New York,NY,511nyace
New York,NY,511nyadirondack
New York,NY,511nybdfv
New York,NY,511nyls
New York,NY,511ny456
New York,NY,511ny123
New York,NY,NYSDOT
New York,NY,NYC_DOT
New York,NY,NYSDOTHornell
New York,NY,NYSDOTUtica
New York,NY,NYSDOTSyracuse
New York,NY,NYSDOTBuffalo
North Carolina,NC,NCDOT
North Dakota,ND,MinotRoads
Ohio,OH,ODOT_Statewide
Ohio,OH,ODOT_Akron
Ohio,OH,ODOT_Dayton
Ohio,OH,ODOT_Cincinnati
Ohio,OH,ODOT_Toledo
Ohio,OH,ODOT_Cleveland
Ohio,OH,ODOT_NorthCenOH
Ohio,OH,ODOT_EastCenOH
Ohio,OH,ODOT_EasternOH
Ohio,OH,ODOT_SEOhio
Ohio,OH,ODOT_SouthOhio
Oklahoma,OK,OKDOT
Oregon,OR,OregonDOT
Pennsylvania,PA,511PAStatewide
Pennsylvania,PA,PennDOTNews
Rhode Island,RI,RIDOTNews
South Carolina,SC,SCDOTPeeDee
South Carolina,SC,SCDOTPiedmont
South Carolina,SC,SCDOTMidlands
South Carolina,SC,SCDOTLowCountry
South Dakota,SD,SouthDakotaDOT
Tennessee,TN,myTDOT
Texas,TX,TXDot
Texas,TX,TxDOTSanAngelo
Texas,TX,TxDotParis
Utah,UT,UtahDOT
Vermont,VT,511VT
Virginia,VA,511statewideva
Virginia,VA,511northernva
Virginia,VA,511centralva
Virginia,VA,511hamptonroads
Virginia,VA,511northwestva
Virginia,VA,511southwestva
,,
,,
,,
,,
,,
,,
Washington,WA,wsdot
West Virginia,WV,wv511
Wisconsin,WI,WisconsinDOT
Wyoming,WY,WYODT_Southwest
,,WYDOT_Central
,,WYDOT_Northeast
,,WYDOT_Southeast
,,WYDOT_Northwest
,,WYDOT_I80
,,WYDOT_I90
,,WYDOT_I25
,,WYDOT1
