,road,abbrevs
0,I-540,"i-540,i 540,i540,interstate-540,interstate 540,interstate540,i-540,i 540,i540"
1,I-40,"i-40,i 40,i40,interstate-40,interstate 40,interstate40,i-40,i 40,i40"
2,I-440,"i-440,i 440,i440,interstate-440,interstate 440,interstate440,i-440,i 440,i440"
3,I-277,"i-277,i 277,i277,interstate-277,interstate 277,interstate277,i-277,i 277,i277"
4,I-26,"i-26,i 26,i26,interstate-26,interstate 26,interstate26,i-26,i 26,i26"
5,I-795,"i-795,i 795,i795,interstate-795,interstate 795,interstate795,i-795,i 795,i795"
6,I-74,"i-74,i 74,i74,interstate-74,interstate 74,interstate74,i-74,i 74,i74"
7,I-785,"i-785,i 785,i785,interstate-785,interstate 785,interstate785,i-785,i 785,i785"
8,I-87,"i-87,i 87,i87,interstate-87,interstate 87,interstate87,i-87,i 87,i87"
9,I-77,"i-77,i 77,i77,interstate-77,interstate 77,interstate77,i-77,i 77,i77"
10,I-285,"i-285,i 285,i285,interstate-285,interstate 285,interstate285,i-285,i 285,i285"
11,I-95,"i-95,i 95,i95,interstate-95,interstate 95,interstate95,i-95,i 95,i95"
12,I-140,"i-140,i 140,i140,interstate-140,interstate 140,interstate140,i-140,i 140,i140"
13,I-73,"i-73,i 73,i73,interstate-73,interstate 73,interstate73,i-73,i 73,i73"
14,I-295,"i-295,i 295,i295,interstate-295,interstate 295,interstate295,i-295,i 295,i295"
15,I-85,"i-85,i 85,i85,interstate-85,interstate 85,interstate85,i-85,i 85,i85"
16,I-240,"i-240,i 240,i240,interstate-240,interstate 240,interstate240,i-240,i 240,i240"
17,I-485,"i-485,i 485,i485,interstate-485,interstate 485,interstate485,i-485,i 485,i485"
18,I-840,"i-840,i 840,i840,interstate-840,interstate 840,interstate840,i-840,i 840,i840"
19,I-540,"i-540,i 540,i540,interstate-540,interstate 540,interstate540,i-540,i 540,i540"
20,I-440,"i-440,i 440,i440,interstate-440,interstate 440,interstate440,i-440,i 440,i440"
21,I-277,"i-277,i 277,i277,interstate-277,interstate 277,interstate277,i-277,i 277,i277"
22,I-795,"i-795,i 795,i795,interstate-795,interstate 795,interstate795,i-795,i 795,i795"
23,I-785,"i-785,i 785,i785,interstate-785,interstate 785,interstate785,i-785,i 785,i785"
24,I-285,"i-285,i 285,i285,interstate-285,interstate 285,interstate285,i-285,i 285,i285"
25,I-140,"i-140,i 140,i140,interstate-140,interstate 140,interstate140,i-140,i 140,i140"
26,I-295,"i-295,i 295,i295,interstate-295,interstate 295,interstate295,i-295,i 295,i295"
27,I-240,"i-240,i 240,i240,interstate-240,interstate 240,interstate240,i-240,i 240,i240"
28,I-485,"i-485,i 485,i485,interstate-485,interstate 485,interstate485,i-485,i 485,i485"
29,I-840,"i-840,i 840,i840,interstate-840,interstate 840,interstate840,i-840,i 840,i840"
30,US 1,"us 1,us-1,us1,u.s. 1,u.s.-1,u.s.1,us route 1,us route-1,us route1,u.s. route 1,u.s. route-1,u.s. route1,us rte 1,us rte-1,us rte1,u.s. rte 1,u.s. rte-1,u.s. rte1,us-route 1,us-route-1,us-route1,u.s.-route 1,u.s.-route-1,u.s.-route1,us-rte 1,us-rte-1,us-rte1,u.s.-rte 1,u.s.-rte-1,u.s.-rte1"
31,US 2,"us 2,us-2,us2,u.s. 2,u.s.-2,u.s.2,us route 2,us route-2,us route2,u.s. route 2,u.s. route-2,u.s. route2,us rte 2,us rte-2,us rte2,u.s. rte 2,u.s. rte-2,u.s. rte2,us-route 2,us-route-2,us-route2,u.s.-route 2,u.s.-route-2,u.s.-route2,us-rte 2,us-rte-2,us-rte2,u.s.-rte 2,u.s.-rte-2,u.s.-rte2"
32,US 3,"us 3,us-3,us3,u.s. 3,u.s.-3,u.s.3,us route 3,us route-3,us route3,u.s. route 3,u.s. route-3,u.s. route3,us rte 3,us rte-3,us rte3,u.s. rte 3,u.s. rte-3,u.s. rte3,us-route 3,us-route-3,us-route3,u.s.-route 3,u.s.-route-3,u.s.-route3,us-rte 3,us-rte-3,us-rte3,u.s.-rte 3,u.s.-rte-3,u.s.-rte3"
33,US 4,"us 4,us-4,us4,u.s. 4,u.s.-4,u.s.4,us route 4,us route-4,us route4,u.s. route 4,u.s. route-4,u.s. route4,us rte 4,us rte-4,us rte4,u.s. rte 4,u.s. rte-4,u.s. rte4,us-route 4,us-route-4,us-route4,u.s.-route 4,u.s.-route-4,u.s.-route4,us-rte 4,us-rte-4,us-rte4,u.s.-rte 4,u.s.-rte-4,u.s.-rte4"
34,US 5,"us 5,us-5,us5,u.s. 5,u.s.-5,u.s.5,us route 5,us route-5,us route5,u.s. route 5,u.s. route-5,u.s. route5,us rte 5,us rte-5,us rte5,u.s. rte 5,u.s. rte-5,u.s. rte5,us-route 5,us-route-5,us-route5,u.s.-route 5,u.s.-route-5,u.s.-route5,us-rte 5,us-rte-5,us-rte5,u.s.-rte 5,u.s.-rte-5,u.s.-rte5"
35,US 6,"us 6,us-6,us6,u.s. 6,u.s.-6,u.s.6,us route 6,us route-6,us route6,u.s. route 6,u.s. route-6,u.s. route6,us rte 6,us rte-6,us rte6,u.s. rte 6,u.s. rte-6,u.s. rte6,us-route 6,us-route-6,us-route6,u.s.-route 6,u.s.-route-6,u.s.-route6,us-rte 6,us-rte-6,us-rte6,u.s.-rte 6,u.s.-rte-6,u.s.-rte6"
36,US 7,"us 7,us-7,us7,u.s. 7,u.s.-7,u.s.7,us route 7,us route-7,us route7,u.s. route 7,u.s. route-7,u.s. route7,us rte 7,us rte-7,us rte7,u.s. rte 7,u.s. rte-7,u.s. rte7,us-route 7,us-route-7,us-route7,u.s.-route 7,u.s.-route-7,u.s.-route7,us-rte 7,us-rte-7,us-rte7,u.s.-rte 7,u.s.-rte-7,u.s.-rte7"
37,US 8,"us 8,us-8,us8,u.s. 8,u.s.-8,u.s.8,us route 8,us route-8,us route8,u.s. route 8,u.s. route-8,u.s. route8,us rte 8,us rte-8,us rte8,u.s. rte 8,u.s. rte-8,u.s. rte8,us-route 8,us-route-8,us-route8,u.s.-route 8,u.s.-route-8,u.s.-route8,us-rte 8,us-rte-8,us-rte8,u.s.-rte 8,u.s.-rte-8,u.s.-rte8"
38,US 9,"us 9,us-9,us9,u.s. 9,u.s.-9,u.s.9,us route 9,us route-9,us route9,u.s. route 9,u.s. route-9,u.s. route9,us rte 9,us rte-9,us rte9,u.s. rte 9,u.s. rte-9,u.s. rte9,us-route 9,us-route-9,us-route9,u.s.-route 9,u.s.-route-9,u.s.-route9,us-rte 9,us-rte-9,us-rte9,u.s.-rte 9,u.s.-rte-9,u.s.-rte9"
39,US 10,"us 10,us-10,us10,u.s. 10,u.s.-10,u.s.10,us route 10,us route-10,us route10,u.s. route 10,u.s. route-10,u.s. route10,us rte 10,us rte-10,us rte10,u.s. rte 10,u.s. rte-10,u.s. rte10,us-route 10,us-route-10,us-route10,u.s.-route 10,u.s.-route-10,u.s.-route10,us-rte 10,us-rte-10,us-rte10,u.s.-rte 10,u.s.-rte-10,u.s.-rte10"
40,US 11,"us 11,us-11,us11,u.s. 11,u.s.-11,u.s.11,us route 11,us route-11,us route11,u.s. route 11,u.s. route-11,u.s. route11,us rte 11,us rte-11,us rte11,u.s. rte 11,u.s. rte-11,u.s. rte11,us-route 11,us-route-11,us-route11,u.s.-route 11,u.s.-route-11,u.s.-route11,us-rte 11,us-rte-11,us-rte11,u.s.-rte 11,u.s.-rte-11,u.s.-rte11"
41,US 12,"us 12,us-12,us12,u.s. 12,u.s.-12,u.s.12,us route 12,us route-12,us route12,u.s. route 12,u.s. route-12,u.s. route12,us rte 12,us rte-12,us rte12,u.s. rte 12,u.s. rte-12,u.s. rte12,us-route 12,us-route-12,us-route12,u.s.-route 12,u.s.-route-12,u.s.-route12,us-rte 12,us-rte-12,us-rte12,u.s.-rte 12,u.s.-rte-12,u.s.-rte12"
42,US 13,"us 13,us-13,us13,u.s. 13,u.s.-13,u.s.13,us route 13,us route-13,us route13,u.s. route 13,u.s. route-13,u.s. route13,us rte 13,us rte-13,us rte13,u.s. rte 13,u.s. rte-13,u.s. rte13,us-route 13,us-route-13,us-route13,u.s.-route 13,u.s.-route-13,u.s.-route13,us-rte 13,us-rte-13,us-rte13,u.s.-rte 13,u.s.-rte-13,u.s.-rte13"
43,US 14,"us 14,us-14,us14,u.s. 14,u.s.-14,u.s.14,us route 14,us route-14,us route14,u.s. route 14,u.s. route-14,u.s. route14,us rte 14,us rte-14,us rte14,u.s. rte 14,u.s. rte-14,u.s. rte14,us-route 14,us-route-14,us-route14,u.s.-route 14,u.s.-route-14,u.s.-route14,us-rte 14,us-rte-14,us-rte14,u.s.-rte 14,u.s.-rte-14,u.s.-rte14"
44,US 15,"us 15,us-15,us15,u.s. 15,u.s.-15,u.s.15,us route 15,us route-15,us route15,u.s. route 15,u.s. route-15,u.s. route15,us rte 15,us rte-15,us rte15,u.s. rte 15,u.s. rte-15,u.s. rte15,us-route 15,us-route-15,us-route15,u.s.-route 15,u.s.-route-15,u.s.-route15,us-rte 15,us-rte-15,us-rte15,u.s.-rte 15,u.s.-rte-15,u.s.-rte15"
45,US 16,"us 16,us-16,us16,u.s. 16,u.s.-16,u.s.16,us route 16,us route-16,us route16,u.s. route 16,u.s. route-16,u.s. route16,us rte 16,us rte-16,us rte16,u.s. rte 16,u.s. rte-16,u.s. rte16,us-route 16,us-route-16,us-route16,u.s.-route 16,u.s.-route-16,u.s.-route16,us-rte 16,us-rte-16,us-rte16,u.s.-rte 16,u.s.-rte-16,u.s.-rte16"
46,US 17,"us 17,us-17,us17,u.s. 17,u.s.-17,u.s.17,us route 17,us route-17,us route17,u.s. route 17,u.s. route-17,u.s. route17,us rte 17,us rte-17,us rte17,u.s. rte 17,u.s. rte-17,u.s. rte17,us-route 17,us-route-17,us-route17,u.s.-route 17,u.s.-route-17,u.s.-route17,us-rte 17,us-rte-17,us-rte17,u.s.-rte 17,u.s.-rte-17,u.s.-rte17"
47,US 18,"us 18,us-18,us18,u.s. 18,u.s.-18,u.s.18,us route 18,us route-18,us route18,u.s. route 18,u.s. route-18,u.s. route18,us rte 18,us rte-18,us rte18,u.s. rte 18,u.s. rte-18,u.s. rte18,us-route 18,us-route-18,us-route18,u.s.-route 18,u.s.-route-18,u.s.-route18,us-rte 18,us-rte-18,us-rte18,u.s.-rte 18,u.s.-rte-18,u.s.-rte18"
48,US 19,"us 19,us-19,us19,u.s. 19,u.s.-19,u.s.19,us route 19,us route-19,us route19,u.s. route 19,u.s. route-19,u.s. route19,us rte 19,us rte-19,us rte19,u.s. rte 19,u.s. rte-19,u.s. rte19,us-route 19,us-route-19,us-route19,u.s.-route 19,u.s.-route-19,u.s.-route19,us-rte 19,us-rte-19,us-rte19,u.s.-rte 19,u.s.-rte-19,u.s.-rte19"
49,US 20,"us 20,us-20,us20,u.s. 20,u.s.-20,u.s.20,us route 20,us route-20,us route20,u.s. route 20,u.s. route-20,u.s. route20,us rte 20,us rte-20,us rte20,u.s. rte 20,u.s. rte-20,u.s. rte20,us-route 20,us-route-20,us-route20,u.s.-route 20,u.s.-route-20,u.s.-route20,us-rte 20,us-rte-20,us-rte20,u.s.-rte 20,u.s.-rte-20,u.s.-rte20"
50,US 21,"us 21,us-21,us21,u.s. 21,u.s.-21,u.s.21,us route 21,us route-21,us route21,u.s. route 21,u.s. route-21,u.s. route21,us rte 21,us rte-21,us rte21,u.s. rte 21,u.s. rte-21,u.s. rte21,us-route 21,us-route-21,us-route21,u.s.-route 21,u.s.-route-21,u.s.-route21,us-rte 21,us-rte-21,us-rte21,u.s.-rte 21,u.s.-rte-21,u.s.-rte21"
51,US 22,"us 22,us-22,us22,u.s. 22,u.s.-22,u.s.22,us route 22,us route-22,us route22,u.s. route 22,u.s. route-22,u.s. route22,us rte 22,us rte-22,us rte22,u.s. rte 22,u.s. rte-22,u.s. rte22,us-route 22,us-route-22,us-route22,u.s.-route 22,u.s.-route-22,u.s.-route22,us-rte 22,us-rte-22,us-rte22,u.s.-rte 22,u.s.-rte-22,u.s.-rte22"
52,US 23,"us 23,us-23,us23,u.s. 23,u.s.-23,u.s.23,us route 23,us route-23,us route23,u.s. route 23,u.s. route-23,u.s. route23,us rte 23,us rte-23,us rte23,u.s. rte 23,u.s. rte-23,u.s. rte23,us-route 23,us-route-23,us-route23,u.s.-route 23,u.s.-route-23,u.s.-route23,us-rte 23,us-rte-23,us-rte23,u.s.-rte 23,u.s.-rte-23,u.s.-rte23"
53,US 24,"us 24,us-24,us24,u.s. 24,u.s.-24,u.s.24,us route 24,us route-24,us route24,u.s. route 24,u.s. route-24,u.s. route24,us rte 24,us rte-24,us rte24,u.s. rte 24,u.s. rte-24,u.s. rte24,us-route 24,us-route-24,us-route24,u.s.-route 24,u.s.-route-24,u.s.-route24,us-rte 24,us-rte-24,us-rte24,u.s.-rte 24,u.s.-rte-24,u.s.-rte24"
54,US 25,"us 25,us-25,us25,u.s. 25,u.s.-25,u.s.25,us route 25,us route-25,us route25,u.s. route 25,u.s. route-25,u.s. route25,us rte 25,us rte-25,us rte25,u.s. rte 25,u.s. rte-25,u.s. rte25,us-route 25,us-route-25,us-route25,u.s.-route 25,u.s.-route-25,u.s.-route25,us-rte 25,us-rte-25,us-rte25,u.s.-rte 25,u.s.-rte-25,u.s.-rte25"
55,US 26,"us 26,us-26,us26,u.s. 26,u.s.-26,u.s.26,us route 26,us route-26,us route26,u.s. route 26,u.s. route-26,u.s. route26,us rte 26,us rte-26,us rte26,u.s. rte 26,u.s. rte-26,u.s. rte26,us-route 26,us-route-26,us-route26,u.s.-route 26,u.s.-route-26,u.s.-route26,us-rte 26,us-rte-26,us-rte26,u.s.-rte 26,u.s.-rte-26,u.s.-rte26"
56,US 27,"us 27,us-27,us27,u.s. 27,u.s.-27,u.s.27,us route 27,us route-27,us route27,u.s. route 27,u.s. route-27,u.s. route27,us rte 27,us rte-27,us rte27,u.s. rte 27,u.s. rte-27,u.s. rte27,us-route 27,us-route-27,us-route27,u.s.-route 27,u.s.-route-27,u.s.-route27,us-rte 27,us-rte-27,us-rte27,u.s.-rte 27,u.s.-rte-27,u.s.-rte27"
57,US 29,"us 29,us-29,us29,u.s. 29,u.s.-29,u.s.29,us route 29,us route-29,us route29,u.s. route 29,u.s. route-29,u.s. route29,us rte 29,us rte-29,us rte29,u.s. rte 29,u.s. rte-29,u.s. rte29,us-route 29,us-route-29,us-route29,u.s.-route 29,u.s.-route-29,u.s.-route29,us-rte 29,us-rte-29,us-rte29,u.s.-rte 29,u.s.-rte-29,u.s.-rte29"
58,US 30,"us 30,us-30,us30,u.s. 30,u.s.-30,u.s.30,us route 30,us route-30,us route30,u.s. route 30,u.s. route-30,u.s. route30,us rte 30,us rte-30,us rte30,u.s. rte 30,u.s. rte-30,u.s. rte30,us-route 30,us-route-30,us-route30,u.s.-route 30,u.s.-route-30,u.s.-route30,us-rte 30,us-rte-30,us-rte30,u.s.-rte 30,u.s.-rte-30,u.s.-rte30"
59,US 31,"us 31,us-31,us31,u.s. 31,u.s.-31,u.s.31,us route 31,us route-31,us route31,u.s. route 31,u.s. route-31,u.s. route31,us rte 31,us rte-31,us rte31,u.s. rte 31,u.s. rte-31,u.s. rte31,us-route 31,us-route-31,us-route31,u.s.-route 31,u.s.-route-31,u.s.-route31,us-rte 31,us-rte-31,us-rte31,u.s.-rte 31,u.s.-rte-31,u.s.-rte31"
60,US 33,"us 33,us-33,us33,u.s. 33,u.s.-33,u.s.33,us route 33,us route-33,us route33,u.s. route 33,u.s. route-33,u.s. route33,us rte 33,us rte-33,us rte33,u.s. rte 33,u.s. rte-33,u.s. rte33,us-route 33,us-route-33,us-route33,u.s.-route 33,u.s.-route-33,u.s.-route33,us-rte 33,us-rte-33,us-rte33,u.s.-rte 33,u.s.-rte-33,u.s.-rte33"
61,US 34,"us 34,us-34,us34,u.s. 34,u.s.-34,u.s.34,us route 34,us route-34,us route34,u.s. route 34,u.s. route-34,u.s. route34,us rte 34,us rte-34,us rte34,u.s. rte 34,u.s. rte-34,u.s. rte34,us-route 34,us-route-34,us-route34,u.s.-route 34,u.s.-route-34,u.s.-route34,us-rte 34,us-rte-34,us-rte34,u.s.-rte 34,u.s.-rte-34,u.s.-rte34"
62,US 35,"us 35,us-35,us35,u.s. 35,u.s.-35,u.s.35,us route 35,us route-35,us route35,u.s. route 35,u.s. route-35,u.s. route35,us rte 35,us rte-35,us rte35,u.s. rte 35,u.s. rte-35,u.s. rte35,us-route 35,us-route-35,us-route35,u.s.-route 35,u.s.-route-35,u.s.-route35,us-rte 35,us-rte-35,us-rte35,u.s.-rte 35,u.s.-rte-35,u.s.-rte35"
63,US 36,"us 36,us-36,us36,u.s. 36,u.s.-36,u.s.36,us route 36,us route-36,us route36,u.s. route 36,u.s. route-36,u.s. route36,us rte 36,us rte-36,us rte36,u.s. rte 36,u.s. rte-36,u.s. rte36,us-route 36,us-route-36,us-route36,u.s.-route 36,u.s.-route-36,u.s.-route36,us-rte 36,us-rte-36,us-rte36,u.s.-rte 36,u.s.-rte-36,u.s.-rte36"
64,US 40,"us 40,us-40,us40,u.s. 40,u.s.-40,u.s.40,us route 40,us route-40,us route40,u.s. route 40,u.s. route-40,u.s. route40,us rte 40,us rte-40,us rte40,u.s. rte 40,u.s. rte-40,u.s. rte40,us-route 40,us-route-40,us-route40,u.s.-route 40,u.s.-route-40,u.s.-route40,us-rte 40,us-rte-40,us-rte40,u.s.-rte 40,u.s.-rte-40,u.s.-rte40"
65,US 41,"us 41,us-41,us41,u.s. 41,u.s.-41,u.s.41,us route 41,us route-41,us route41,u.s. route 41,u.s. route-41,u.s. route41,us rte 41,us rte-41,us rte41,u.s. rte 41,u.s. rte-41,u.s. rte41,us-route 41,us-route-41,us-route41,u.s.-route 41,u.s.-route-41,u.s.-route41,us-rte 41,us-rte-41,us-rte41,u.s.-rte 41,u.s.-rte-41,u.s.-rte41"
66,US 42,"us 42,us-42,us42,u.s. 42,u.s.-42,u.s.42,us route 42,us route-42,us route42,u.s. route 42,u.s. route-42,u.s. route42,us rte 42,us rte-42,us rte42,u.s. rte 42,u.s. rte-42,u.s. rte42,us-route 42,us-route-42,us-route42,u.s.-route 42,u.s.-route-42,u.s.-route42,us-rte 42,us-rte-42,us-rte42,u.s.-rte 42,u.s.-rte-42,u.s.-rte42"
67,US 43,"us 43,us-43,us43,u.s. 43,u.s.-43,u.s.43,us route 43,us route-43,us route43,u.s. route 43,u.s. route-43,u.s. route43,us rte 43,us rte-43,us rte43,u.s. rte 43,u.s. rte-43,u.s. rte43,us-route 43,us-route-43,us-route43,u.s.-route 43,u.s.-route-43,u.s.-route43,us-rte 43,us-rte-43,us-rte43,u.s.-rte 43,u.s.-rte-43,u.s.-rte43"
68,US 44,"us 44,us-44,us44,u.s. 44,u.s.-44,u.s.44,us route 44,us route-44,us route44,u.s. route 44,u.s. route-44,u.s. route44,us rte 44,us rte-44,us rte44,u.s. rte 44,u.s. rte-44,u.s. rte44,us-route 44,us-route-44,us-route44,u.s.-route 44,u.s.-route-44,u.s.-route44,us-rte 44,us-rte-44,us-rte44,u.s.-rte 44,u.s.-rte-44,u.s.-rte44"
69,US 45,"us 45,us-45,us45,u.s. 45,u.s.-45,u.s.45,us route 45,us route-45,us route45,u.s. route 45,u.s. route-45,u.s. route45,us rte 45,us rte-45,us rte45,u.s. rte 45,u.s. rte-45,u.s. rte45,us-route 45,us-route-45,us-route45,u.s.-route 45,u.s.-route-45,u.s.-route45,us-rte 45,us-rte-45,us-rte45,u.s.-rte 45,u.s.-rte-45,u.s.-rte45"
70,US 46,"us 46,us-46,us46,u.s. 46,u.s.-46,u.s.46,us route 46,us route-46,us route46,u.s. route 46,u.s. route-46,u.s. route46,us rte 46,us rte-46,us rte46,u.s. rte 46,u.s. rte-46,u.s. rte46,us-route 46,us-route-46,us-route46,u.s.-route 46,u.s.-route-46,u.s.-route46,us-rte 46,us-rte-46,us-rte46,u.s.-rte 46,u.s.-rte-46,u.s.-rte46"
71,US 48,"us 48,us-48,us48,u.s. 48,u.s.-48,u.s.48,us route 48,us route-48,us route48,u.s. route 48,u.s. route-48,u.s. route48,us rte 48,us rte-48,us rte48,u.s. rte 48,u.s. rte-48,u.s. rte48,us-route 48,us-route-48,us-route48,u.s.-route 48,u.s.-route-48,u.s.-route48,us-rte 48,us-rte-48,us-rte48,u.s.-rte 48,u.s.-rte-48,u.s.-rte48"
72,US 49,"us 49,us-49,us49,u.s. 49,u.s.-49,u.s.49,us route 49,us route-49,us route49,u.s. route 49,u.s. route-49,u.s. route49,us rte 49,us rte-49,us rte49,u.s. rte 49,u.s. rte-49,u.s. rte49,us-route 49,us-route-49,us-route49,u.s.-route 49,u.s.-route-49,u.s.-route49,us-rte 49,us-rte-49,us-rte49,u.s.-rte 49,u.s.-rte-49,u.s.-rte49"
73,US 50,"us 50,us-50,us50,u.s. 50,u.s.-50,u.s.50,us route 50,us route-50,us route50,u.s. route 50,u.s. route-50,u.s. route50,us rte 50,us rte-50,us rte50,u.s. rte 50,u.s. rte-50,u.s. rte50,us-route 50,us-route-50,us-route50,u.s.-route 50,u.s.-route-50,u.s.-route50,us-rte 50,us-rte-50,us-rte50,u.s.-rte 50,u.s.-rte-50,u.s.-rte50"
