,road,abbrevs
0,I-526,"i-526,i 526,i526,interstate-526,interstate 526,interstate526,i-526,i 526,i526"
1,I-585,"i-585,i 585,i585,interstate-585,interstate 585,interstate585,i-585,i 585,i585"
2,I-385,"i-385,i 385,i385,interstate-385,interstate 385,interstate385,i-385,i 385,i385"
3,I-20,"i-20,i 20,i20,interstate-20,interstate 20,interstate20,i-20,i 20,i20"
4,I-26,"i-26,i 26,i26,interstate-26,interstate 26,interstate26,i-26,i 26,i26"
5,I-520,"i-520,i 520,i520,interstate-520,interstate 520,interstate520,i-520,i 520,i520"
6,I-77,"i-77,i 77,i77,interstate-77,interstate 77,interstate77,i-77,i 77,i77"
7,I-95,"i-95,i 95,i95,interstate-95,interstate 95,interstate95,i-95,i 95,i95"
8,I-185,"i-185,i 185,i185,interstate-185,interstate 185,interstate185,i-185,i 185,i185"
9,I-126,"i-126,i 126,i126,interstate-126,interstate 126,interstate126,i-126,i 126,i126"
10,I-85,"i-85,i 85,i85,interstate-85,interstate 85,interstate85,i-85,i 85,i85"
11,I-526,"i-526,i 526,i526,interstate-526,interstate 526,interstate526,i-526,i 526,i526"
12,I-585,"i-585,i 585,i585,interstate-585,interstate 585,interstate585,i-585,i 585,i585"
13,I-385,"i-385,i 385,i385,interstate-385,interstate 385,interstate385,i-385,i 385,i385"
14,I-520,"i-520,i 520,i520,interstate-520,interstate 520,interstate520,i-520,i 520,i520"
15,I-185,"i-185,i 185,i185,interstate-185,interstate 185,interstate185,i-185,i 185,i185"
16,I-126,"i-126,i 126,i126,interstate-126,interstate 126,interstate126,i-126,i 126,i126"
17,US 1,"us 1,us-1,us1,u.s. 1,u.s.-1,u.s.1,us route 1,us route-1,us route1,u.s. route 1,u.s. route-1,u.s. route1,us rte 1,us rte-1,us rte1,u.s. rte 1,u.s. rte-1,u.s. rte1,us-route 1,us-route-1,us-route1,u.s.-route 1,u.s.-route-1,u.s.-route1,us-rte 1,us-rte-1,us-rte1,u.s.-rte 1,u.s.-rte-1,u.s.-rte1"
