id,username,date,text,time,state,split_text,closed,open,cause
1043262364844544002,NCPublicSafety,2018-09-21,driving in areas at risk of flooding is extremely dangerous at night with rivers in eastern nc expected to crest in the next few days @ncdot has advised that motorists avoid driving in areas east of us-1 & south of us-7 never drive through standing water or around barricades,22:15:05,North Carolina,"['driving', 'in', 'areas', 'at', 'risk', 'of', 'flooding', 'is', 'extremely', 'dangerous', 'at', 'night', 'with', 'rivers', 'in', 'eastern', 'nc', 'expected', 'to', 'crest', 'in', 'the', 'next', 'few', 'days', '@ncdot', 'has', 'advised', 'that', 'motorists', 'avoid', 'driving', 'in', 'areas', 'east', 'of', 'us-1', '&', 'south', 'of', 'us-7', 'never', 'drive', 'through', 'standing', 'water', 'or', 'around', 'barricades']",avoid,,flood
1043226122715062272,NCPublicSafety,2018-09-21,bertie correctional institution assistant maintenance supervisor charles gurganus took action with several members of his church to help those affected by hurricane florence in martin county #wearencdps #florencenc,19:51:04,North Carolina,"['bertie', 'correctional', 'institution', 'assistant', 'maintenance', 'supervisor', 'charles', 'gurganus', 'took', 'action', 'with', 'several', 'members', 'of', 'his', 'church', 'to', 'help', 'those', 'affected', 'by', 'hurricane', 'florence', 'in', 'martin', 'county', '#wearencdps', '#florencenc']",maintenance,,maintenance
1043118921606410240,NCPublicSafety,2018-09-21,some rivers are still rising & are not expected to crest until this weekend avoid traveling on roads at risk of overwash flooding & never drive through standing or moving waters check   to ensure the route you want to take is clear  …,12:45:05,North Carolina,"['some', 'rivers', 'are', 'still', 'rising', '&', 'are', 'not', 'expected', 'to', 'crest', 'until', 'this', 'weekend', 'avoid', 'traveling', 'on', 'roads', 'at', 'risk', 'of', 'overwash', 'flooding', '&', 'never', 'drive', 'through', 'standing', 'or', 'moving', 'waters', 'check', 'to', 'ensure', 'the', 'route', 'you', 'want', 'to', 'take', 'is', 'clear', '…']",avoid,,flood
1041628031570333701,NCPublicSafety,2018-09-17,reminder that road st state road 1209 in tyrrell county will be closed starting today at 9 am if you are heading to tyrrell prison work farm take this detour through columbia,10:00:49,North Carolina,"['reminder', 'that', 'road', 'st', 'state', 'road', '1209', 'in', 'tyrrell', 'county', 'will', 'be', 'closed', 'starting', 'today', 'at', '9', 'am', 'if', 'you', 'are', 'heading', 'to', 'tyrrell', 'prison', 'work', 'farm', 'take', 'this', 'detour', 'through', 'columbia']",closed,,
1040802229870051328,NCPublicSafety,2018-09-15,please visit   for the latest info on travel conditions @ncshp recommends people avoid travel now because of hazardous conditions including falling trees and power lines,03:19:23,North Carolina,"['please', 'visit', 'for', 'the', 'latest', 'info', 'on', 'travel', 'conditions', '@ncshp', 'recommends', 'people', 'avoid', 'travel', 'now', 'because', 'of', 'hazardous', 'conditions', 'including', 'falling', 'trees', 'and', 'power', 'lines']",avoid,,hazard
1040735711425638405,NCPublicSafety,2018-09-14,its starting to get dark and #hurricaneflorence is still causing power outages heavy rainfall and hazardous wind conditions if possible avoid venturing out of your home flooded roads are deadly never drive past barricades or through standing water,22:55:04,North Carolina,"['its', 'starting', 'to', 'get', 'dark', 'and', '#hurricaneflorence', 'is', 'still', 'causing', 'power', 'outages', 'heavy', 'rainfall', 'and', 'hazardous', 'wind', 'conditions', 'if', 'possible', 'avoid', 'venturing', 'out', 'of', 'your', 'home', 'flooded', 'roads', 'are', 'deadly', 'never', 'drive', 'past', 'barricades', 'or', 'through', 'standing', 'water']",avoid,,hazard
1043215796296724482,wectnews,2018-09-21,many beach access points on carolina beach to be closed indefinitely as town assesses damage -->   ,19:10:02,North Carolina,"['many', 'beach', 'access', 'points', 'on', 'carolina', 'beach', 'to', 'be', 'closed', 'indefinitely', 'as', 'town', 'assesses', 'damage', '-->']",closed,,damage
1042794842810724353,wectnews,2018-09-20,brunswick county schools will be closed all of next week  ,15:17:19,North Carolina,"['brunswick', 'county', 'schools', 'will', 'be', 'closed', 'all', 'of', 'next', 'week']",closed,,
1042734890834440193,wectnews,2018-09-20,ncdot: all lanes of us 421 closed due to flooding near new hanover-pender line   ,11:19:05,North Carolina,"['ncdot:', 'all', 'lanes', 'of', 'us', '421', 'closed', 'due', 'to', 'flooding', 'near', 'new', 'hanover-pender', 'line']",closed,,flood
1042717433826619393,wectnews,2018-09-20,traffic alert: nc87 in columbus county is closed in both directions near the livingston creek bridge due to flooding,10:09:43,North Carolina,"['traffic', 'alert:', 'nc87', 'in', 'columbus', 'county', 'is', 'closed', 'in', 'both', 'directions', 'near', 'the', 'livingston', 'creek', 'bridge', 'due', 'to', 'flooding']",closed,,flood
