<<<<<<< HEAD
,Unnamed: 0,id,username,date,text,time,state,split_text,closed,open,cause,highway_string,has_highway,county_string,has_county,city_string,has_city,Other_Road_List,mm_list,exit_list,x,y,match_scores,matched_addresses,best_x,best_y,best_score,best_address
0,0,1043262364844544002,NCPublicSafety,2018-09-21,driving in areas at risk of flooding is extremely dangerous at night with rivers in eastern nc expected to crest in the next few days @ncdot has advised that motorists avoid driving in areas east of us-1 & south of us-7 never drive through standing water or around barricades,22:15:05,North Carolina,"['driving', 'in', 'areas', 'at', 'risk', 'of', 'flooding', 'is', 'extremely', 'dangerous', 'at', 'night', 'with', 'rivers', 'in', 'eastern', 'nc', 'expected', 'to', 'crest', 'in', 'the', 'next', 'few', 'days', '@ncdot', 'has', 'advised', 'that', 'motorists', 'avoid', 'driving', 'in', 'areas', 'east', 'of', 'us-1', '&', 'south', 'of', 'us-7', 'never', 'drive', 'through', 'standing', 'water', 'or', 'around', 'barricades']",avoid,,flood,"US 1,US 7",1,None,0,None,0,"flooding island,of flooding island,nig heights,at nig heights,to crest,expected to crest,cr estate,to cr estate,c rest,to c rest,cre street,to cre street,n extension,the n extension,ea street,areas ea street,never drive,us-7 never drive,wa terrace,standing wa terrace",None,None,-78.6727215,35.83407600000001,98.7,"US 1 & US 7, North Carolina, USA",None,None,None,None
1,1,1043226122715062272,NCPublicSafety,2018-09-21,bertie correctional institution assistant maintenance supervisor charles gurganus took action with several members of his church to help those affected by hurricane florence in martin county #wearencdps #florencenc,19:51:04,North Carolina,"['bertie', 'correctional', 'institution', 'assistant', 'maintenance', 'supervisor', 'charles', 'gurganus', 'took', 'action', 'with', 'several', 'members', 'of', 'his', 'church', 'to', 'help', 'those', 'affected', 'by', 'hurricane', 'florence', 'in', 'martin', 'county', '#wearencdps', '#florencenc']",maintenance,,maintenance,None,0,None,0,None,0,"h island,of h island",None,None,None,None,None,None,None,None,None,None
2,2,1043118921606410240,NCPublicSafety,2018-09-21,some rivers are still rising & are not expected to crest until this weekend avoid traveling on roads at risk of overwash flooding & never drive through standing or moving waters check   to ensure the route you want to take is clear  …,12:45:05,North Carolina,"['some', 'rivers', 'are', 'still', 'rising', '&', 'are', 'not', 'expected', 'to', 'crest', 'until', 'this', 'weekend', 'avoid', 'traveling', 'on', 'roads', 'at', 'risk', 'of', 'overwash', 'flooding', '&', 'never', 'drive', 'through', 'standing', 'or', 'moving', 'waters', 'check', 'to', 'ensure', 'the', 'route', 'you', 'want', 'to', 'take', 'is', 'clear', '…']",avoid,,flood,None,0,None,0,None,0,"to crest,expected to crest,cr estate,to cr estate,c rest,to c rest,cre street,to cre street,th island,until th island,on roads,traveling on roads,never drive,& never drive,the route,ensure the route,take island,to take island",None,None,None,None,None,None,None,None,None,None
3,3,1041628031570333701,NCPublicSafety,2018-09-17,reminder that road st state road 1209 in tyrrell county will be closed starting today at 9 am if you are heading to tyrrell prison work farm take this detour through columbia,10:00:49,North Carolina,"['reminder', 'that', 'road', 'st', 'state', 'road', '1209', 'in', 'tyrrell', 'county', 'will', 'be', 'closed', 'starting', 'today', 'at', '9', 'am', 'if', 'you', 'are', 'heading', 'to', 'tyrrell', 'prison', 'work', 'farm', 'take', 'this', 'detour', 'through', 'columbia']",closed,,,None,0,None,0,"star,columbia",1,"that road,reminder that road,road street,that road street,state road,st state road,th island,take th island",None,None,None,None,None,None,None,None,None,None
4,4,1040802229870051328,NCPublicSafety,2018-09-15,please visit   for the latest info on travel conditions @ncshp recommends people avoid travel now because of hazardous conditions including falling trees and power lines,03:19:23,North Carolina,"['please', 'visit', 'for', 'the', 'latest', 'info', 'on', 'travel', 'conditions', '@ncshp', 'recommends', 'people', 'avoid', 'travel', 'now', 'because', 'of', 'hazardous', 'conditions', 'including', 'falling', 'trees', 'and', 'power', 'lines']",avoid,,hazard,None,0,None,0,None,0,"lat estate,the lat estate,late street,the late street",None,None,None,None,None,None,None,None,None,None
5,5,1040735711425638405,NCPublicSafety,2018-09-14,its starting to get dark and #hurricaneflorence is still causing power outages heavy rainfall and hazardous wind conditions if possible avoid venturing out of your home flooded roads are deadly never drive past barricades or through standing water,22:55:04,North Carolina,"['its', 'starting', 'to', 'get', 'dark', 'and', '#hurricaneflorence', 'is', 'still', 'causing', 'power', 'outages', 'heavy', 'rainfall', 'and', 'hazardous', 'wind', 'conditions', 'if', 'possible', 'avoid', 'venturing', 'out', 'of', 'your', 'home', 'flooded', 'roads', 'are', 'deadly', 'never', 'drive', 'past', 'barricades', 'or', 'through', 'standing', 'water']",avoid,,hazard,None,0,None,0,star,1,"#hurricaneflorence island,and #hurricaneflorence island,rain fall,heavy rain fall,flooded roads,home flooded roads,never drive,deadly never drive,pa street,drive pa street,wa terrace,standing wa terrace",None,None,None,None,None,None,None,None,None,None
6,6,1043215796296724482,wectnews,2018-09-21,many beach access points on carolina beach to be closed indefinitely as town assesses damage -->   ,19:10:02,North Carolina,"['many', 'beach', 'access', 'points', 'on', 'carolina', 'beach', 'to', 'be', 'closed', 'indefinitely', 'as', 'town', 'assesses', 'damage', '-->']",closed,,damage,None,0,None,0,None,0,"many beach,access points,beach access points,carolina beach,on carolina beach",None,None,None,None,None,None,None,None,None,None
7,7,1042794842810724353,wectnews,2018-09-20,brunswick county schools will be closed all of next week  ,15:17:19,North Carolina,"['brunswick', 'county', 'schools', 'will', 'be', 'closed', 'all', 'of', 'next', 'week']",closed,,,None,0,None,0,brunswick,1,"n extension,of n extension",None,None,None,None,None,None,None,None,None,None
8,8,1042734890834440193,wectnews,2018-09-20,ncdot: all lanes of us 421 closed due to flooding near new hanover-pender line   ,11:19:05,North Carolina,"['ncdot:', 'all', 'lanes', 'of', 'us', '421', 'closed', 'due', 'to', 'flooding', 'near', 'new', 'hanover-pender', 'line']",closed,,flood,None,0,None,0,None,0,None,None,None,None,None,None,None,None,None,None,None
9,9,1042717433826619393,wectnews,2018-09-20,traffic alert: nc87 in columbus county is closed in both directions near the livingston creek bridge due to flooding,10:09:43,North Carolina,"['traffic', 'alert:', 'nc87', 'in', 'columbus', 'county', 'is', 'closed', 'in', 'both', 'directions', 'near', 'the', 'livingston', 'creek', 'bridge', 'due', 'to', 'flooding']",closed,,flood,NC 87,1,None,0,columbus,1,"county island,columbus county island,livingston creek,the livingston creek,creek bridge,livingston creek bridge,b ridge,creek b ridge",None,None,"-78.24275341426979,-82.68068999999997,-78.20027999999996,-78.20027999999996,-78.20027999999996,-79.76769869150937,-78.6594748736356,-79.76769869150937,-78.65511622999998,-78.03004646470819,-78.65511622999998,-78.24275341426979,-78.20027999999996,-78.20027999999996,-78.24275341426979,-79.76769869150937","34.35499275891863,35.66580000000005,34.35184000000004,34.35184000000004,34.35184000000004,36.52791252955973,34.215970986146075,36.52791252955973,34.26551406800007,33.959264594144315,34.26551406800007,34.35499275891863,34.35184000000004,34.35184000000004,34.35499275891863,36.52791252955973","93.82,92.31,92.84,93.67,85.97,88.26,91.73,94.64,90,91.09,91.67,94.75,92.5,93.14,90.13,94.64","NC 87 & b ridge, columbus, North Carolina, USA,NC 87 & b ridge, North Carolina, USA,NC 87 & the livingston creek, columbus, North Carolina, USA,NC 87 & the livingston creek, North Carolina, USA,NC 87 & livingston creek bridge, columbus, North Carolina, USA,NC 87 & livingston creek bridge, North Carolina, USA,NC 87 & creek bridge, columbus, North Carolina, USA,NC 87 & creek bridge, North Carolina, USA,NC 87 & county island, columbus, North Carolina, USA,NC 87 & county island, North Carolina, USA,NC 87 & columbus county island, columbus, North Carolina, USA,NC 87 & columbus county island, North Carolina, USA,NC 87 & livingston creek, columbus, North Carolina, USA,NC 87 & livingston creek, North Carolina, USA,NC 87 & creek b ridge, columbus, North Carolina, USA,NC 87 & creek b ridge, North Carolina, USA",-78.24275341426979,34.35499275891863,94.75,",NC 87 & columbus county island, North Carolina"
10,10,1041810872887332870,wectnews,2018-09-17,just in: man charged in fatal wilmington shooting blocks away from back-to-school cookout   ,22:07:22,North Carolina,"['just', 'in:', 'man', 'charged', 'in', 'fatal', 'wilmington', 'shooting', 'blocks', 'away', 'from', 'back-to-school', 'cookout']",block,,,None,0,None,0,wilmington,1,"ju street,b locks,shooting b locks,a way,blocks a way",None,None,None,None,None,None,None,None,None,None
