,x,y,match_scores,matched_addresses
0,None,None,None,None
1,None,None,None,None
2,None,None,None,None
3,None,None,None,None
4,None,None,None,None
5,None,None,None,None
6,None,None,None,None
7,None,None,None,None
8,None,None,None,None
9,None,None,None,None
10,"-78.84656082128134,-79.09203527270644","35.74629457084068,35.801121346269404","83.47,85.92","US 1, mile marker 96, apex, North Carolina, USA,US 1, mile marker 96, North Carolina, USA"
11,None,None,None,None
12,None,None,None,None
13,None,None,None,None
14,-79.16719088518518,35.748639140740735,99.6,"US 501 & US 64, North Carolina, USA"
15,None,None,None,None
16,None,None,None,None
17,None,None,None,None
18,None,None,None,None
19,None,None,None,None
20,None,None,None,None
21,"-78.63835876171247,-79.09147461946478","35.77731504581317,35.80039322033805","88.54,86.19","I-40, mile marker 289, raleigh, North Carolina, USA,I-40, mile marker 289, North Carolina, USA"
22,"-78.12524999999994,-79.0646440108487","35.59672000000006,35.87946159836133","82.7,86.19","I-95, mile marker 105, kenly, North Carolina, USA,I-95, mile marker 105, North Carolina, USA"
23,"-77.66080458920862,-79.09150366484505","36.18236199957147,35.800397806450725","84.48,86.19","I-40, mile marker 287, cary, North Carolina, USA,I-40, mile marker 287, North Carolina, USA"
24,"-78.91080445304813,-68.90410605001692","36.08903026852695,45.251716892776805","88.63,87.59","US 501, mile marker 105, durham, North Carolina, USA,US 501, mile marker 105, North Carolina, USA"
25,"-78.96290381698613,-79.0646440108487","35.96773231722404,35.87946159836133","88.33,85.29","US 15, mile marker 105, durham, North Carolina, USA,US 15, mile marker 105, North Carolina, USA"
26,None,None,None,None
27,"-78.90210879007344,-79.09196177666634","35.996819327851036,35.80102070064507","88.36,86.19","I-85, mile marker 173, durham, North Carolina, USA,I-85, mile marker 173, North Carolina, USA"
28,"-78.90210879007344,-79.09196177666634","35.996819327851036,35.80102070064507","88.36,86.19","I-85, mile marker 173, durham, North Carolina, USA,I-85, mile marker 173, North Carolina, USA"
29,None,None,None,None
30,None,None,None,None
31,"-77.66080458920862,-79.09150366484505","36.18236199957147,35.800397806450725","84.48,86.19","I-40, mile marker 287, cary, North Carolina, USA,I-40, mile marker 287, North Carolina, USA"
32,"-78.89643999999998,-79.09186370052078","35.995420000000024,35.80047552130703","83.16,86.19","I-40, mile marker 273, durham, North Carolina, USA,I-40, mile marker 273, North Carolina, USA"
33,None,None,None,None
34,"-78.90210879007344,-79.09196177666634","35.996819327851036,35.80102070064507","88.36,86.19","I-85, mile marker 173, durham, North Carolina, USA,I-85, mile marker 173, North Carolina, USA"
35,None,None,None,None
36,"-78.64633601620339,-78.28557612932613,-78.6489705,-78.74227096624203,-78.6489705,-78.765669,-78.76607849999999","35.79787880697431,35.631750323000645,35.80926300000001,35.88530595477708,35.809263,35.901638999999996,35.90142300000001","92,87.01,98.42,96.7,97.62,95.11,94.34","US 70 & we street, raleigh, North Carolina, USA,US 70 & we street, North Carolina, USA,US 70 & us-70 w estate, raleigh, North Carolina, USA,US 70 & us-70 w estate, North Carolina, USA,US 70 & us-70 we street, raleigh, North Carolina, USA,US 70 & w estate, raleigh, North Carolina, USA,US 70 & w estate, North Carolina, USA"
37,None,None,None,None
38,None,None,None,None
39,None,None,None,None
40,None,None,None,None
41,"-78.9473385,-79.43661900000001,-78.85434999999995,-78.81282999999996,-80.27640907180506,-78.2857412241586,-80.27640907180506,-78.81282999999996","35.741538000000006,35.73378000000001,35.733010000000036,35.24684000000008,35.832703151696755,35.631740998707784,35.832703151696755,35.24684000000008","97.14,97.5,80,82.22,86.64,87.01,85.52,87.59","US 64 & us-64 ea street, apex, North Carolina, USA,US 64 & us-64 ea street, North Carolina, USA,US 64 & weather event lane, apex, North Carolina, USA,US 64 & weather event lane, North Carolina, USA,US 64 & ea street, apex, North Carolina, USA,US 64 & ea street, North Carolina, USA,US 64 & event lane, apex, North Carolina, USA,US 64 & event lane, North Carolina, USA"
42,"-79.02304481419691,-78.28557612932613,-79.02304481419691,-78.81282999999996,-78.76607849999999,-78.76607849999999,-78.840261,-79.016319,-78.74227096624203,-79.02304481419691,-78.643188","36.0461351104767,35.631750323000645,36.0461351104767,35.24684000000008,35.90142300000001,35.90142300000001,35.954217,36.04276800000001,35.88530595477708,36.0461351104767,35.784018","91.76,87.01,86.67,82.22,92.61,94.34,97.89,98.38,96.7,91,90.14","US 70 & we street, durham, North Carolina, USA,US 70 & we street, North Carolina, USA,US 70 & weather event lane, durham, North Carolina, USA,US 70 & weather event lane, North Carolina, USA,US 70 & w estate, durham, North Carolina, USA,US 70 & w estate, North Carolina, USA,US 70 & us-70 we street, durham, North Carolina, USA,US 70 & us-70 w estate, durham, North Carolina, USA,US 70 & us-70 w estate, North Carolina, USA,US 70 & event lane, durham, North Carolina, USA,US 70 & event lane, North Carolina, USA"
43,"-78.84656082128134,-79.09203010841541","35.74629457084068,35.80112929133251","83.47,85.92","US 1, mile marker 86, apex, North Carolina, USA,US 1, mile marker 86, North Carolina, USA"
44,None,None,None,None
45,"-77.89265326418733,-76.47227983236193","35.787159382471785,36.18865949956732","88.53,86.19","I-40, mile marker 319, wilson, North Carolina, USA,I-40, mile marker 319, North Carolina, USA"
46,"-78.63378145597024,-79.09209554549503","35.80968774188072,35.800791341372246","87.46,84.86","I-440, mile marker 2, raleigh, North Carolina, USA,I-440, mile marker 2, North Carolina, USA"
47,None,None,None,None
48,None,None,None,None
49,"-78.63919546443124,-77.94920587898898","35.77720273691043,34.23525856506448","87.56,85.01","I-440, mile marker 14, raleigh, North Carolina, USA,I-440, mile marker 14, North Carolina, USA"
50,"-78.63378145597024,-79.09209554549503","35.80968774188072,35.800791341372246","87.46,84.86","I-440, mile marker 8, raleigh, North Carolina, USA,I-440, mile marker 8, North Carolina, USA"
51,"-78.63378145597024,-79.09209554549503","35.80968774188072,35.800791341372246","87.46,84.86","I-440, mile marker 2, raleigh, North Carolina, USA,I-440, mile marker 2, North Carolina, USA"
52,"-78.63378145597024,-79.09209554549503","35.80968774188072,35.800791341372246","87.46,84.86","I-440, mile marker 6, raleigh, North Carolina, USA,I-440, mile marker 6, North Carolina, USA"
53,"-78.54101595292505,-78.97608,-78.54101595292505,-78.97608","35.38957386311313,34.80723900000001,35.38957386311313,34.80723900000001","86.98,79.01,91.25,84.73","US 301 & weather event road, benson, North Carolina, USA,US 301 & weather event road, North Carolina, USA,US 301 & event road, benson, North Carolina, USA,US 301 & event road, North Carolina, USA"
54,None,None,None,None
55,None,None,None,None
56,None,None,None,None
57,None,None,None,None
58,None,None,None,None
59,None,None,None,None
60,None,None,None,None
61,None,None,None,None
62,None,None,None,None
63,None,None,None,None
64,None,None,None,None
65,None,None,None,None
66,None,None,None,None
67,None,None,None,None
68,None,None,None,None
69,None,None,None,None
70,-79.09203725884488,35.800454260122045,86.19,"I-40, mile marker 266, North Carolina, USA"
71,"-79.18541791299998,-78.78097316876706","35.53934433500007,35.74951770690656","80,85.97","NC 96 & weather event road, North Carolina, USA,NC 96 & event road, North Carolina, USA"
72,None,None,None,None
73,-79.09203725884488,35.800454260122045,86.19,"I-40, mile marker 266, North Carolina, USA"
74,"-78.89643999999998,-79.0916716008558","35.995420000000024,35.800421123268215","83.16,86.19","I-40, mile marker 283, durham, North Carolina, USA,I-40, mile marker 283, North Carolina, USA"
75,"-78.89643999999998,-79.09177963496674","35.995420000000024,35.80029030031406","83.16,86.19","I-40, mile marker 278, durham, North Carolina, USA,I-40, mile marker 278, North Carolina, USA"
76,"-78.63378145597024,-79.09209554549503","35.80968774188072,35.800791341372246","87.46,84.86","I-440, mile marker 2, raleigh, North Carolina, USA,I-440, mile marker 2, North Carolina, USA"
77,None,None,None,None
78,"-80.04510012568969,-78.28557612932613,-80.21609099999999,-80.21609099999999,-78.76607849999999,-78.76607849999999,-80.21609099999999,-80.21609099999999,-78.45634999999999,-77.30321419870674,-80.04510012568969,-77.30321419870674","35.912004097076974,35.631750323000645,35.842302,35.842302,35.90142300000001,35.90142300000001,35.842302,35.842302,35.650360000000035,38.19521389157637,35.912004097076974,38.19521389157637","87.7,87.01,95.11,96.46,92.38,94.34,94.61,96.1,81.4,80.75,86.64,86.92","US 70 & we street, clayton, North Carolina, USA,US 70 & we street, North Carolina, USA,US 70 & bus we street, clayton, North Carolina, USA,US 70 & bus we street, North Carolina, USA,US 70 & w estate, clayton, North Carolina, USA,US 70 & w estate, North Carolina, USA,US 70 & bus w estate, clayton, North Carolina, USA,US 70 & bus w estate, North Carolina, USA,US 70 & vehicle crash road, clayton, North Carolina, USA,US 70 & vehicle crash road, North Carolina, USA,US 70 & crash road, clayton, North Carolina, USA,US 70 & crash road, North Carolina, USA"
79,"-80.04510012568969,-78.28557612932613,-78.409071,-78.74227096624203,-78.409071,-78.76607849999999,-78.76607849999999","35.912004097076974,35.631750323000645,35.59627800000001,35.88530595477708,35.596278,35.90142300000001,35.90142300000001","87.7,87.01,98.1,96.7,97.31,92.38,94.34","US 70 & we street, clayton, North Carolina, USA,US 70 & we street, North Carolina, USA,US 70 & us-70 w estate, clayton, North Carolina, USA,US 70 & us-70 w estate, North Carolina, USA,US 70 & us-70 we street, clayton, North Carolina, USA,US 70 & w estate, clayton, North Carolina, USA,US 70 & w estate, North Carolina, USA"
80,"-78.63378145597024,-79.09209554549503","35.80968774188072,35.800791341372246","87.46,84.86","I-440, mile marker 2, raleigh, North Carolina, USA,I-440, mile marker 2, North Carolina, USA"
81,"-78.63911655235549,-79.11337132058961","35.77720000402469,34.50117672300769","85.16,86.19","I-40, mile marker 301, raleigh, North Carolina, USA,I-40, mile marker 301, North Carolina, USA"
82,"-78.63911655235549,-79.11337132058961","35.77720000402469,34.50117672300769","85.16,86.19","I-40, mile marker 301, raleigh, North Carolina, USA,I-40, mile marker 301, North Carolina, USA"
83,"-78.4532898742448,-79.18541791299998,-78.4532898742448,-78.78097316876706","35.325482522515244,35.53934433500007,35.325482522515244,35.74951770690656","86.67,80,91,85.97","NC 96 & weather event road, benson, North Carolina, USA,NC 96 & weather event road, North Carolina, USA,NC 96 & event road, benson, North Carolina, USA,NC 96 & event road, North Carolina, USA"
84,None,None,None,None
85,"-78.39172220279202,-79.09203630556465","34.79126379829153,35.80111975725678","84.07,85.92","US 1, mile marker 98, cary, North Carolina, USA,US 1, mile marker 98, North Carolina, USA"
86,"-78.39172220279202,-79.09203630556465","34.79126379829153,35.80111975725678","84.07,85.92","US 1, mile marker 98, cary, North Carolina, USA,US 1, mile marker 98, North Carolina, USA"
87,"-78.13479537647366,-79.18541791299998,-78.13479537647366,-77.822478","35.61240355740652,35.53934433500007,35.61240355740652,35.607258","86.67,79.46,91,85.02","NC 222 & weather event road, kenly, North Carolina, USA,NC 222 & weather event road, North Carolina, USA,NC 222 & event road, kenly, North Carolina, USA,NC 222 & event road, North Carolina, USA"
88,None,None,None,None
89,"-79.09138748332394,-79.09138748332394","35.80037946200002,35.80037946200002","82.91,86.19","I-40, mile marker 295, apex, North Carolina, USA,I-40, mile marker 295, North Carolina, USA"
90,None,None,None,None
91,None,None,None,None
92,"-78.12524999999994,-79.0646440108487","35.59672000000006,35.87946159836133","82.7,86.19","I-95, mile marker 105, kenly, North Carolina, USA,I-95, mile marker 105, North Carolina, USA"
93,"-78.97608,-78.97608","34.80723900000001,34.80723900000001","79.01,84.73","US 301 & weather event road, North Carolina, USA,US 301 & event road, North Carolina, USA"
94,"-78.63834670287177,-79.09141652870422","35.77731462819098,35.800384048112704","88.54,86.19","I-40, mile marker 293, raleigh, North Carolina, USA,I-40, mile marker 293, North Carolina, USA"
95,"-78.4064205,-78.81282999999996,-78.64266999999995,-78.81282999999996","36.27234,35.24684000000008,35.785510000000045,35.24684000000008","86.29,88.57,81.9,82.86","US 1 & crash lane, raleigh, North Carolina, USA,US 1 & crash lane, North Carolina, USA,US 1 & vehicle crash lane, raleigh, North Carolina, USA,US 1 & vehicle crash lane, North Carolina, USA"
96,None,None,None,None
97,None,None,None,None
98,"-78.89643999999998,-79.09186370052078","35.995420000000024,35.80047552130703","83.16,86.19","I-40, mile marker 273, durham, North Carolina, USA,I-40, mile marker 273, North Carolina, USA"
99,"-78.12524999999994,-79.0646440108487","35.59672000000006,35.87946159836133","82.7,86.19","I-95, mile marker 105, kenly, North Carolina, USA,I-95, mile marker 105, North Carolina, USA"
