,highway_string,has_highway,county_string,has_county,city_string,has_city
0,"US 1,US 7",1,None,0,None,0
1,None,0,None,0,None,0
2,None,0,None,0,None,0
3,None,0,None,0,"star,columbia",1
4,None,0,None,0,None,0
5,None,0,None,0,star,1
6,None,0,None,0,None,0
7,None,0,None,0,brunswick,1
8,None,0,None,0,None,0
9,NC 87,1,None,0,columbus,1
10,None,0,None,0,wilmington,1
11,None,0,None,0,brunswick,1
12,None,0,None,0,None,0
13,None,0,None,0,"brunswick,leland",1
14,None,0,None,0,None,0
15,None,0,None,0,brunswick,1
16,None,0,None,0,None,0
17,US 701,1,None,0,elizabethtown,1
18,None,0,None,0,None,0
19,None,0,None,0,wilmington,1
20,None,0,None,0,None,0
21,None,0,None,0,None,0
22,None,0,None,0,None,0
23,None,0,None,0,enfield,1
24,None,0,None,0,wilmington,1
25,None,0,None,0,None,0
26,None,0,None,0,earl,1
27,None,0,None,0,king,1
28,None,0,None,0,king,1
29,None,0,None,0,None,0
30,I-40,1,None,0,None,0
31,None,0,None,0,None,0
32,None,0,None,0,None,0
33,None,0,None,0,enfield,1
34,None,0,None,0,"king,raleigh",1
35,"US 64,I-40,NC 82,I-74",1,None,0,None,0
36,None,0,None,0,None,0
37,None,0,None,0,None,0
38,None,0,None,0,goldsboro,1
39,None,0,None,0,None,0
40,None,0,None,0,"king,wendell,raleigh",1
41,US 64,1,None,0,knightdale,1
42,None,0,None,0,king,1
43,None,0,None,0,None,0
44,"US 264,I-73",1,None,0,"wilmington,raleigh",1
45,None,0,None,0,durham,1
46,"I-95,US 64,I-40,NC 82,NC 87,I-74",1,None,0,"king,dunn,fayetteville,lumberton,wallace,wilmington",1
47,"I-95,NC 87,I-74",1,None,0,"fayetteville,lumberton",1
48,None,0,None,0,durham,1
49,"I-95,I-40,I-74",1,None,0,"wilmington,raleigh,durham",1
50,"I-74,I-95",1,None,0,lumberton,1
51,None,0,None,0,carrboro,1
52,None,0,None,0,king,1
53,None,0,None,0,"king,raleigh",1
54,None,0,None,0,apex,1
55,NC 55,1,None,0,apex,1
56,None,0,None,0,raleigh,1
57,None,0,None,0,"earl,wilmington",1
58,"NC 210,I-95,I-40",1,None,0,None,0
59,"I-95,I-40",1,None,0,"benson,dunn,raleigh",1
60,None,0,None,0,king,1
61,None,0,None,0,None,0
62,None,0,None,0,fayetteville,1
63,"I-95,NC 211",1,None,0,lumberton,1
64,None,0,None,0,None,0
