,road,abbrevs
0,I-195,"i-195,i 195,i195,interstate-195,interstate 195,interstate195,i-195,i 195,i195"
1,I-4,"i-4,i 4,i4,interstate-4,interstate 4,interstate4,i-4,i 4,i4"
2,I-395,"i-395,i 395,i395,interstate-395,interstate 395,interstate395,i-395,i 395,i395"
3,I-275,"i-275,i 275,i275,interstate-275,interstate 275,interstate275,i-275,i 275,i275"
4,I-595,"i-595,i 595,i595,interstate-595,interstate 595,interstate595,i-595,i 595,i595"
5,I-175,"i-175,i 175,i175,interstate-175,interstate 175,interstate175,i-175,i 175,i175"
6,I-95,"i-95,i 95,i95,interstate-95,interstate 95,interstate95,i-95,i 95,i95"
7,I-295,"i-295,i 295,i295,interstate-295,interstate 295,interstate295,i-295,i 295,i295"
8,I-75,"i-75,i 75,i75,interstate-75,interstate 75,interstate75,i-75,i 75,i75"
9,I-10,"i-10,i 10,i10,interstate-10,interstate 10,interstate10,i-10,i 10,i10"
10,I-110,"i-110,i 110,i110,interstate-110,interstate 110,interstate110,i-110,i 110,i110"
11,I-375,"i-375,i 375,i375,interstate-375,interstate 375,interstate375,i-375,i 375,i375"
12,I-195,"i-195,i 195,i195,interstate-195,interstate 195,interstate195,i-195,i 195,i195"
13,I-395,"i-395,i 395,i395,interstate-395,interstate 395,interstate395,i-395,i 395,i395"
14,I-275,"i-275,i 275,i275,interstate-275,interstate 275,interstate275,i-275,i 275,i275"
15,I-595,"i-595,i 595,i595,interstate-595,interstate 595,interstate595,i-595,i 595,i595"
16,I-175,"i-175,i 175,i175,interstate-175,interstate 175,interstate175,i-175,i 175,i175"
17,I-295,"i-295,i 295,i295,interstate-295,interstate 295,interstate295,i-295,i 295,i295"
18,I-110,"i-110,i 110,i110,interstate-110,interstate 110,interstate110,i-110,i 110,i110"
19,I-375,"i-375,i 375,i375,interstate-375,interstate 375,interstate375,i-375,i 375,i375"
20,US 1,"us 1,us-1,us1,u.s. 1,u.s.-1,u.s.1,us route 1,us route-1,us route1,u.s. route 1,u.s. route-1,u.s. route1,us rte 1,us rte-1,us rte1,u.s. rte 1,u.s. rte-1,u.s. rte1,us-route 1,us-route-1,us-route1,u.s.-route 1,u.s.-route-1,u.s.-route1,us-rte 1,us-rte-1,us-rte1,u.s.-rte 1,u.s.-rte-1,u.s.-rte1"
21,US 2,"us 2,us-2,us2,u.s. 2,u.s.-2,u.s.2,us route 2,us route-2,us route2,u.s. route 2,u.s. route-2,u.s. route2,us rte 2,us rte-2,us rte2,u.s. rte 2,u.s. rte-2,u.s. rte2,us-route 2,us-route-2,us-route2,u.s.-route 2,u.s.-route-2,u.s.-route2,us-rte 2,us-rte-2,us-rte2,u.s.-rte 2,u.s.-rte-2,u.s.-rte2"
22,US 3,"us 3,us-3,us3,u.s. 3,u.s.-3,u.s.3,us route 3,us route-3,us route3,u.s. route 3,u.s. route-3,u.s. route3,us rte 3,us rte-3,us rte3,u.s. rte 3,u.s. rte-3,u.s. rte3,us-route 3,us-route-3,us-route3,u.s.-route 3,u.s.-route-3,u.s.-route3,us-rte 3,us-rte-3,us-rte3,u.s.-rte 3,u.s.-rte-3,u.s.-rte3"
23,US 4,"us 4,us-4,us4,u.s. 4,u.s.-4,u.s.4,us route 4,us route-4,us route4,u.s. route 4,u.s. route-4,u.s. route4,us rte 4,us rte-4,us rte4,u.s. rte 4,u.s. rte-4,u.s. rte4,us-route 4,us-route-4,us-route4,u.s.-route 4,u.s.-route-4,u.s.-route4,us-rte 4,us-rte-4,us-rte4,u.s.-rte 4,u.s.-rte-4,u.s.-rte4"
24,US 5,"us 5,us-5,us5,u.s. 5,u.s.-5,u.s.5,us route 5,us route-5,us route5,u.s. route 5,u.s. route-5,u.s. route5,us rte 5,us rte-5,us rte5,u.s. rte 5,u.s. rte-5,u.s. rte5,us-route 5,us-route-5,us-route5,u.s.-route 5,u.s.-route-5,u.s.-route5,us-rte 5,us-rte-5,us-rte5,u.s.-rte 5,u.s.-rte-5,u.s.-rte5"
25,US 6,"us 6,us-6,us6,u.s. 6,u.s.-6,u.s.6,us route 6,us route-6,us route6,u.s. route 6,u.s. route-6,u.s. route6,us rte 6,us rte-6,us rte6,u.s. rte 6,u.s. rte-6,u.s. rte6,us-route 6,us-route-6,us-route6,u.s.-route 6,u.s.-route-6,u.s.-route6,us-rte 6,us-rte-6,us-rte6,u.s.-rte 6,u.s.-rte-6,u.s.-rte6"
