id,username,date,text,time,state,split_text,closed,open,cause
902981697200947200,TxDOTHouston,2017-08-30,water is down on many of our highways but we are not back to normal #drive2conditions #slowdown & #avoiddistractions,19:49:47,Texas,"['water', 'is', 'down', 'on', 'many', 'of', 'our', 'highways', 'but', 'we', 'are', 'not', 'back', 'to', 'normal', '#drive2conditions', '#slowdown', '&', '#avoiddistractions']",avoid,,
902634017211781120,TxDOTHouston,2017-08-29,sh 225 wb before red bluff se harris maintenance crew members d whitehead and j yanes barricading frontage road,20:48:14,Texas,"['sh', '225', 'wb', 'before', 'red', 'bluff', 'se', 'harris', 'maintenance', 'crew', 'members', 'd', 'whitehead', 'and', 'j', 'yanes', 'barricading', 'frontage', 'road']",maintenance,,maintenance
902612748856676352,TxDOTHouston,2017-08-29,stay informed go to   and   for current road closures,19:23:43,Texas,"['stay', 'informed', 'go', 'to', 'and', 'for', 'current', 'road', 'closures']",closure,,
902331847216123904,TxDOTHouston,2017-08-29,stay off the road is best idea,00:47:31,Texas,"['stay', 'off', 'the', 'road', 'is', 'best', 'idea']",stay off,,
902300186634047495,TxDOTHouston,2017-08-28,best thing at this time is stay off the road,22:41:43,Texas,"['best', 'thing', 'at', 'this', 'time', 'is', 'stay', 'off', 'the', 'road']",stay off,,
902300004693540866,TxDOTHouston,2017-08-28,stay off the road,22:40:59,Texas,"['stay', 'off', 'the', 'road']",stay off,,
902297631975768064,TxDOTHouston,2017-08-28,sh 146 at fred hartman bridge in both directions has been closed due to chemical leak from plant nearby,22:31:33,Texas,"['sh', '146', 'at', 'fred', 'hartman', 'bridge', 'in', 'both', 'directions', 'has', 'been', 'closed', 'due', 'to', 'chemical', 'leak', 'from', 'plant', 'nearby']",closed,,
902287082093244417,TxDOTHouston,2017-08-28,we are getting multiple inquiries on current road closures go to   or   for updates,21:49:38,Texas,"['we', 'are', 'getting', 'multiple', 'inquiries', 'on', 'current', 'road', 'closures', 'go', 'to', 'or', 'for', 'updates']",closure,,
902280690791829504,TxDOTHouston,2017-08-28,travel for many is not necessary pls stay off the road if on the road do not go the opposite direction this is extremely dangerous,21:24:14,Texas,"['travel', 'for', 'many', 'is', 'not', 'necessary', 'pls', 'stay', 'off', 'the', 'road', 'if', 'on', 'the', 'road', 'do', 'not', 'go', 'the', 'opposite', 'direction', 'this', 'is', 'extremely', 'dangerous']",stay off,,
902182051444641792,TxDOTHouston,2017-08-28,stay off the roads most major freeways are similar to what is going on now at i-10 eastbound and westbound greens bayou just after uvalde,14:52:17,Texas,"['stay', 'off', 'the', 'roads', 'most', 'major', 'freeways', 'are', 'similar', 'to', 'what', 'is', 'going', 'on', 'now', 'at', 'i-10', 'eastbound', 'and', 'westbound', 'greens', 'bayou', 'just', 'after', 'uvalde']",stay off,,
901903267646623746,TxDOTHouston,2017-08-27,txdot officials urge motorists to stay off roads -   …,20:24:30,Texas,"['txdot', 'officials', 'urge', 'motorists', 'to', 'stay', 'off', 'roads', '-', '…']",stay off,,
901831799122354177,TxDOTHouston,2017-08-27,the roadway network is inundated wwater and not safe for travel please stay off the roads today #harvey #besafe,15:40:30,Texas,"['the', 'roadway', 'network', 'is', 'inundated', 'wwater', 'and', 'not', 'safe', 'for', 'travel', 'please', 'stay', 'off', 'the', 'roads', 'today', '#harvey', '#besafe']",stay off,,
901646305361002496,TxDOTHouston,2017-08-27,hou district engineer quincy allen joins @edemmett @sylvesterturner and @artacevedo for press conference to urge people to stay off roads,03:23:25,Texas,"['hou', 'district', 'engineer', 'quincy', 'allen', 'joins', '@edemmett', '@sylvesterturner', 'and', '@artacevedo', 'for', 'press', 'conference', 'to', 'urge', 'people', 'to', 'stay', 'off', 'roads']",stay off,,
901638929379622913,TxDOTHouston,2017-08-27,sh 288 nb sb between macgregor and ih 610 all mainlanes blocked due to high water,02:54:07,Texas,"['sh', '288', 'nb', 'sb', 'between', 'macgregor', 'and', 'ih', '610', 'all', 'mainlanes', 'blocked', 'due', 'to', 'high', 'water']",block,,
901630921203470336,TxDOTHouston,2017-08-27,txdot and @hctra closing down underpasses on ih 610 w loop nb and sb at the westpark tollway avoid the area,02:22:17,Texas,"['txdot', 'and', '@hctra', 'closing', 'down', 'underpasses', 'on', 'ih', '610', 'w', 'loop', 'nb', 'and', 'sb', 'at', 'the', 'westpark', 'tollway', 'avoid', 'the', 'area']",closing,,
