,highway_string,highway_order,has_highway,num_highways,county_string,county_order,has_county,num_counties,city_string,city_order,has_city,num_cities
0,None,None,0,0,None,None,0,0,None,None,0,0
1,None,None,0,0,None,None,0,0,None,None,0,0
2,None,None,0,0,brazos county ,8 ,1,1,None,None,0,0
3,None,None,0,0,None,None,0,0,None,None,0,0
4,None,None,0,0,houston county houston county ,0 9 ,1,2,houston allen houston ,0 4 9 ,1,3
5,None,None,0,0,None,None,0,0,None,None,0,0
6,None,None,0,0,None,None,0,0,None,None,0,0
7,None,None,0,0,None,None,0,0,None,None,0,0
8,None,None,0,0,ward county yoakum county ,9 20 ,1,2,anton yoakum anton ,11 20 22 ,1,3
9,None,None,0,0,None,None,0,0,None,None,0,0
10,None,None,0,0,king county ,2 ,1,1,early ,12 ,1,1
11,None,None,0,0,wood county ,13 ,1,1,None,None,0,0
12,None,None,0,0,None,None,0,0,None,None,0,0
13,None,None,0,0,king county ,3 ,1,1,cove ,15 ,1,1
14,None,None,0,0,None,None,0,0,None,None,0,0
15,None,None,0,0,None,None,0,0,None,None,0,0
16,None,None,0,0,None,None,0,0,None,None,0,0
17,None,None,0,0,None,None,0,0,None,None,0,0
18,None,None,0,0,None,None,0,0,None,None,0,0
19,None,None,0,0,None,None,0,0,katy ,7 ,1,1
20,None,None,0,0,None,None,0,0,None,None,0,0
21,None,None,0,0,culberson county houston county ,2 10 ,1,2,houston ,10 ,1,1
22,None,None,0,0,None,None,0,0,None,None,0,0
23,None,None,0,0,None,None,0,0,None,None,0,0
24,None,None,0,0,None,None,0,0,None,None,0,0
25,None,None,0,0,houston county ,14 ,1,1,houston ,14 ,1,1
26,None,None,0,0,brazos county ,7 ,1,1,None,None,0,0
27,None,None,0,0,None,None,0,0,None,None,0,0
28,None,None,0,0,king county ,3 ,1,1,None,None,0,0
29,None,None,0,0,None,None,0,0,sweeny ,0 ,1,1
30,None,None,0,0,houston county ,1 ,1,1,houston sweeny ,1 16 ,1,2
31,None,None,0,0,None,None,0,0,None,None,0,0
32,None,None,0,0,None,None,0,0,None,None,0,0
33,None,None,0,0,None,None,0,0,None,None,0,0
34,None,None,0,0,harris county ,4 ,1,1,None,None,0,0
35,None,None,0,0,king county ,2 ,1,1,None,None,0,0
36,None,None,0,0,king county ,1 ,1,1,None,None,0,0
37,None,None,0,0,None,None,0,0,None,None,0,0
38,None,None,0,0,None,None,0,0,None,None,0,0
39,None,None,0,0,king county ,2 ,1,1,None,None,0,0
40,None,None,0,0,None,None,0,0,None,None,0,0
41,None,None,0,0,harris county ,7 ,1,1,None,None,0,0
42,None,None,0,0,None,None,0,0,None,None,0,0
43,None,None,0,0,harris county brazoria county brazoria county ,10 11 11 ,1,3,brazoria ,11 ,1,1
44,None,None,0,0,None,None,0,0,None,None,0,0
45,None,None,0,0,None,None,0,0,None,None,0,0
46,None,None,0,0,None,None,0,0,None,None,0,0
47,None,None,0,0,None,None,0,0,None,None,0,0
48,None,None,0,0,None,None,0,0,None,None,0,0
49,None,None,0,0,None,None,0,0,None,None,0,0
50,None,None,0,0,None,None,0,0,None,None,0,0
51,None,None,0,0,None,None,0,0,None,None,0,0
52,None,None,0,0,None,None,0,0,None,None,0,0
53,None,None,0,0,None,None,0,0,None,None,0,0
54,None,None,0,0,None,None,0,0,None,None,0,0
55,None,None,0,0,None,None,0,0,None,None,0,0
56,None,None,0,0,harris county rains county ,2 6 ,1,2,None,None,0,0
57,None,None,0,0,None,None,0,0,None,None,0,0
58,None,None,0,0,houston county ,9 ,1,1,houston ,9 ,1,1
59,None,None,0,0,None,None,0,0,None,None,0,0
