,Other_Road_List
0,"wa terrace,nearby wa terrace,the nearby wa terrace"
1,"state road,a state road,not a state road"
2,"b ridges,59 b ridges,us 59 b ridges,in fort,brazos in fort,the brazos in fort,fort bend,in fort bend,brazos in fort bend"
3,of course
4,"distri court,houston distri court,road way,about road way,@houstonchron about road way"
5,"ju street,are ju street,we are ju street,th island,you th island,with you th island"
6,"jacinto river,san jacinto river,the san jacinto river,frontage road,all frontage road,river all frontage road"
7,None
8,"towa road,heading towa road,wb heading towa road,wa terrace,high wa terrace,by high wa terrace"
9,"h avenue,crews h avenue,beg union,have beg union,crews have beg union,jacinto river,san jacinto river,the san jacinto river,hope island,the hope island,river the hope island,th island,open th island,it open th island"
10,None
11,"h avenue,we h avenue,cypresswood we h avenue"
12,None
13,"as roads,public as roads,traveling public as roads"
14,"th island,this island,state roads,handle state roads,we handle state roads"
15,"sup port,to sup port,state to sup port"
16,"al ways,for al ways,thank for al ways,straig heights,things straig heights,setting things straig heights"
17,None
18,None
19,"auto dam,katy freeway,10 katy freeway,ih 10 katy freeway,fr way,katy fr way,10 katy fr way,eld ridge,at eld ridge,wb at eld ridge,eldridge parkway,at eldridge parkway,wb at eldridge parkway,pk way,eldridge pk way,at eldridge pk way,prote court,to prote court,pkwy to prote court,protect road,to protect road,pkwy to protect road,wa terrace,from wa terrace,road from wa terrace"
20,None
21,None
22,"and drive,careful and drive,be careful and drive"
23,None
24,"wa terrace,water island,high ways,our high ways,of our high ways"
25,"their roads,for their roads,@hctra for their roads,toll road,txdot toll road,on txdot toll road"
26,"brazos river,the brazos river,at the brazos river,in fort,river in fort,brazos river in fort,fort bend,in fort bend,river in fort bend"
27,None
28,"checking roads,still checking roads,are still checking roads,b estate,are b estate,websites are b estate,be street,are be street,websites are be street"
29,"th island,at th island,home at th island"
30,"@nwshouston island,the @nwshouston island,bena road,san bena road,the san bena road,5 fort,another 5 fort,rise another 5 fort,it crest,before it crest,ft before it crest,cr estate,it cr estate,before it cr estate,c rest,it c rest,before it c rest,cre street,it cre street,before it cre street"
31,None
32,None
33,None
34,"harr island,w harr island,our w harr island,th island,out th island,head out th island,clearing roads,begin clearing roads,to begin clearing roads,our roads,on our roads,done on our roads"
35,"what roads,and what roads,routes and what roads,th island,for th island,and for th island"
36,None
37,None
38,None
39,"check freeway,can check freeway,you can check freeway,free way,check free way,can check free way"
40,"at spring,2978 at spring,fm 2978 at spring,spring creek,at spring creek,2978 at spring creek,creek island,spring creek island,at spring creek island,re ports,news re ports,some news re ports,h avenue,reports h avenue,news reports h avenue,it island,open it island,was open it island,for passage,safe for passage,not safe for passage"
41,"red bluff,before red bluff,wb before red bluff,harr island,se harr island,bluff se harr island,frontage road,barricading frontage road,yanes barricading frontage road"
42,"90-a bridge,us 90-a bridge,of us 90-a bridge,b ridge,90-a b ridge,us 90-a b ridge,berna road,san berna road,at san berna road,bernard river,san bernard river,at san bernard river,in fort,river in fort,bernard river in fort,fort bend,in fort bend,river in fort bend"
43,"@readyharr island,and @readyharr island,us and @readyharr island,for key,@mcoem for key,@fbcoem @mcoem for key"
44,"not drive,do not drive,reason do not drive"
45,None
46,None
47,"camera views,check camera views,to check camera views,see road,to see road,views to see road,it island,but it island,conditions but it island,b estate,is b estate,it is b estate,be street,is be street,it is be street,until roads,put until roads,stay put until roads"
48,"current road,for current road,and for current road"
49,"as well,maps as well,google maps as well,th island,well th island,as well th island,this island,well this island,as well this island"
50,"as well,maps as well,google maps as well,th island,well th island,as well th island,this island,well this island,as well this island"
51,"as well,maps as well,google maps as well,th island,well th island,as well th island,this island,well this island,as well this island"
52,"as well,maps as well,google maps as well,th island,well th island,as well th island,this island,well this island,as well this island"
53,None
54,"as well,maps as well,google maps as well,th island,well th island,as well th island,this island,well this island,as well this island"
55,"ju street,they ju street,h avenue,just h avenue,they just h avenue,wa terrace,of wa terrace,volume of wa terrace,wa terrace,the wa terrace,move the wa terrace"
56,"harr island,se harr island,txdot se harr island,debr island,of debr island,drains of debr island,the highway,on the highway,drainage on the highway,hig highway,the hig highway,on the hig highway,high way,the high way,on the high way"
57,"the road,off the road,stay off the road,road island,the road island,off the road island,b estate,is b estate,road is b estate,be street,is be street,road is be street"
58,"distri court,houston distri court,txdot houston distri court"
59,"mo street,recommended mo street,not recommended mo street,major roads,most major roads,recommended most major roads"
60,"b estate,be street,th island,at th island,thing at th island,time island,this time island,at this time island,the road,off the road,stay off the road"
61,"the road,off the road,stay off the road"
62,None
63,"hartman bridge,fred hartman bridge,at fred hartman bridge,b ridge,hartman b ridge,fred hartman b ridge"
64,"harr island,se harr island,our se harr island,motori street,keep motori street,to keep motori street,wa terrace,high wa terrace,into high wa terrace,the roads,off the roads,staying off the roads"
65,"current road,on current road,inquiries on current road"
66,"available road,allow available road,please allow available road,1 street,by 1 street,used by 1 street"
67,"many island,for many island,travel for many island,the road,off the road,stay off the road,the road,on the road,if on the road,th island,direction th island,opposite direction th island,this island,direction this island,opposite direction this island"
68,"check road,to check road,continue to check road,ju street,were ju street,these were ju street"
69,None
70,None
71,None
72,"b estate,their b estate,putting their b estate,be street,their be street,putting their be street,forwa road,best forwa road,their best forwa road,th island,community th island,the community th island,this island,community this island,the community this island,ju street,is ju street,this is ju street"
73,"h avenue,will h avenue,you will h avenue"
74,"the roads,off the roads,stay off the roads,mo street,roads mo street,the roads mo street,free ways,major free ways,most major free ways,what island,to what island,similar to what island,westbound greens,and westbound greens,eastbound and westbound greens,greens bayou,westbound greens bayou,and westbound greens bayou,ju street,bayou ju street,greens bayou ju street,af terrace,just af terrace,bayou just af terrace"
75,None
76,None
77,"assi street,staff assi street,office staff assi street"
78,"off roads,stay off roads,to stay off roads"
79,"wa terrace,high wa terrace,need: high wa terrace,state roads,on state roads,locations on state roads"
80,"h avenue,we h avenue,distri court,the distri court,of the distri court,our fort,from our fort,crews from our fort,fort bend,our fort bend,from our fort bend,reading road,at reading road,69 at reading road"
81,"th island,this island,dont drive,idea dont drive,good idea dont drive"
82,"road way,the road way,network island,roadway network island,the roadway network island,wwa terrace,inundated wwa terrace,is inundated wwa terrace,the roads,off the roads,stay off the roads"
83,"free ways,on free ways,direction on free ways"
84,"attem point,not attem point,do not attem point,the road,on the road,get on the road,it island,road it island,the road it island,free ways,major free ways,are major free ways,high ways,and high ways,freeways and high ways,city roads,many city roads,but many city roads"
85,"grand parkway,99 grand parkway,sh 99 grand parkway,park way,grand park way,99 grand park way"
86,None
