,x,y,match_scores,matched_addresses
0,-82.25713137425711,26.903938443505204,92.42,"SR 417, mile marker 30, Florida, USA"
1,-82.2557123598304,26.90520142907848,92.42,"SR 429, mile marker 14, Florida, USA"
2,-82.2557123598304,26.90520142907848,92.42,"SR 528, mile marker 14, Florida, USA"
3,"-80.169588,-81.35450999999995,-80.169588,-81.63437418124894,-80.3216385,-80.3216385,-80.3216385,-80.3216385,-80.2043325,-80.2043325,-80.19772999999998,-84.27911999999998","25.925616000000005,28.867770000000064,25.925616000000005,28.139782556442103,25.826112,25.826112,25.826112,25.826112,25.92772200000001,25.92772200000001,25.77481000000006,30.587300000000027","87.59,90.45,84.87,86.54,99.35,99.22,99.67,99.61,96.66,95.95,80,78.55","SR 826 & le fort, miami, Florida, USA,SR 826 & le fort, Florida, USA,SR 826 & la street, miami, Florida, USA,SR 826 & la street, Florida, USA,SR 826 & 58 street, miami, Florida, USA,SR 826 & 58 street, Florida, USA,SR 826 & nw 58 street, miami, Florida, USA,SR 826 & nw 58 street, Florida, USA,SR 826 & 2 le fort, miami, Florida, USA,SR 826 & 2 le fort, Florida, USA,SR 826 & blocked la street, miami, Florida, USA,SR 826 & blocked la street, Florida, USA"
4,-81.45829999999995,28.420890000000043,88.64,"SR 528, exit 1, Florida, USA"
5,"-82.756251,-81.29432999999995","29.490363000000002,28.450360000000046","96.23,83.68","I-10 & I-110, Florida, USA,I-10, exit 12, Florida, USA"
6,-82.2633615,26.894892532315897,87.66,"I-10, mile marker 153, Florida, USA"
7,-85.03297999999995,30.654510000000073,94.05,"I-10, exit 152, Florida, USA"
8,-81.43992999999995,28.48613000000006,93.95,"I-4, exit 78, Florida, USA"
9,"-82.3733505,-82.3733505,-82.37545999999998,-82.37545999999998","29.601953999999996,29.601953999999996,29.60433000000006,29.60433000000006","99.32,99.22,85.59,81.45","SR 121 & I-75, alachua, Florida, USA,SR 121 & I-75, Florida, USA,SR 121, exit 382, alachua, Florida, USA,SR 121, exit 382, Florida, USA"
10,"-82.3733505,-82.3733505,-82.37545999999998,-82.37545999999998","29.601953999999996,29.601953999999996,29.60433000000006,29.60433000000006","99.32,99.22,85.59,81.45","SR 121 & I-75, alachua, Florida, USA,SR 121 & I-75, Florida, USA,SR 121, exit 382, alachua, Florida, USA,SR 121, exit 382, Florida, USA"
11,"-82.756251,-81.29432999999995","29.490363000000002,28.450360000000046","96.23,83.68","I-10 & I-110, Florida, USA,I-10, exit 12, Florida, USA"
12,"-82.3733505,-82.3733505,-82.37545999999998,-82.37545999999998","29.601953999999996,29.601953999999996,29.60433000000006,29.60433000000006","99.32,99.22,85.59,81.45","SR 121 & I-75, alachua, Florida, USA,SR 121 & I-75, Florida, USA,SR 121, exit 382, alachua, Florida, USA,SR 121, exit 382, Florida, USA"
13,-82.25895777505907,26.902387487102494,87.24,"I-10, mile marker 49, Florida, USA"
14,-86.74663999999996,30.700600000000065,95.66,"I-10, exit 45, Florida, USA"
