,highway_string,has_highway,county_string,has_county,city_string,has_city
0,None,0,None,0,None,0
1,I-10,1,None,0,None,0
2,I-10,1,None,0,None,0
3,I-10,1,None,0,None,0
4,SR 30,1,None,0,None,0
5,"I-10,US 29",1,None,0,None,0
6,"I-10,US 29",1,None,0,None,0
7,I-10,1,None,0,None,0
8,I-10,1,None,0,None,0
9,I-10,1,None,0,None,0
10,"I-10,I-110",1,None,0,None,0
11,I-10,1,None,0,None,0
12,"I-10,I-110",1,None,0,None,0
13,I-10,1,None,0,None,0
14,I-10,1,None,0,None,0
15,I-10,1,None,0,None,0
16,I-10,1,None,0,None,0
17,I-10,1,None,0,None,0
18,I-10,1,None,0,None,0
19,I-10,1,None,0,None,0
20,"I-10,US 29",1,None,0,None,0
21,I-10,1,None,0,None,0
22,I-10,1,None,0,None,0
23,SR 30,1,None,0,None,0
24,I-10,1,None,0,None,0
25,SR 30,1,None,0,None,0
26,I-10,1,None,0,None,0
27,I-10,1,None,0,None,0
28,I-10,1,None,0,None,0
29,I-10,1,None,0,None,0
30,I-10,1,None,0,None,0
31,I-10,1,None,0,None,0
32,SR 30,1,None,0,None,0
33,I-10,1,None,0,None,0
34,I-10,1,None,0,None,0
35,I-10,1,None,0,None,0
36,I-10,1,None,0,None,0
37,I-10,1,None,0,None,0
38,I-10,1,None,0,None,0
39,I-10,1,None,0,None,0
40,I-10,1,None,0,None,0
41,I-10,1,None,0,None,0
42,I-10,1,None,0,None,0
43,SR 30,1,None,0,None,0
44,"I-10,US 29",1,None,0,None,0
45,I-10,1,None,0,None,0
46,I-10,1,None,0,None,0
47,I-10,1,None,0,None,0
48,I-10,1,None,0,None,0
49,I-10,1,None,0,None,0
50,I-10,1,None,0,None,0
51,I-10,1,None,0,None,0
52,I-10,1,None,0,None,0
53,I-10,1,None,0,None,0
54,I-10,1,None,0,None,0
55,SR 30,1,None,0,None,0
56,SR 30,1,None,0,None,0
57,SR 30,1,None,0,None,0
58,I-10,1,None,0,None,0
59,I-10,1,None,0,None,0
60,SR 30,1,None,0,None,0
61,I-10,1,None,0,None,0
62,I-10,1,None,0,None,0
63,I-10,1,None,0,None,0
64,I-10,1,None,0,None,0
65,I-10,1,None,0,None,0
66,I-10,1,None,0,None,0
67,I-10,1,None,0,None,0
68,I-10,1,None,0,None,0
69,SR 30,1,None,0,None,0
70,I-10,1,None,0,None,0
71,I-10,1,None,0,None,0
72,I-10,1,None,0,None,0
73,I-10,1,None,0,None,0
74,I-10,1,None,0,None,0
75,I-110,1,None,0,None,0
76,I-10,1,None,0,None,0
77,I-10,1,None,0,None,0
78,I-10,1,None,0,None,0
79,I-110,1,None,0,None,0
80,I-10,1,None,0,None,0
81,I-10,1,None,0,None,0
82,I-10,1,None,0,None,0
83,I-10,1,None,0,None,0
84,SR 30,1,None,0,None,0
85,SR 30,1,None,0,None,0
86,SR 30,1,None,0,None,0
87,SR 30,1,None,0,None,0
88,I-10,1,None,0,None,0
89,I-10,1,None,0,None,0
90,I-10,1,None,0,None,0
91,I-10,1,None,0,None,0
92,US 231,1,None,0,None,0
93,I-10,1,None,0,None,0
94,I-10,1,None,0,None,0
95,"I-10,US 27,SR 61",1,None,0,None,0
96,"I-10,US 27",1,None,0,None,0
97,"I-10,US 27",1,None,0,None,0
98,I-10,1,None,0,None,0
99,I-10,1,None,0,None,0
100,I-10,1,None,0,None,0
101,I-10,1,None,0,None,0
102,I-10,1,None,0,None,0
103,I-10,1,None,0,None,0
104,I-10,1,None,0,None,0
105,SR 30,1,None,0,None,0
106,I-10,1,None,0,None,0
107,I-10,1,None,0,None,0
108,I-10,1,None,0,None,0
109,I-10,1,None,0,None,0
110,I-10,1,None,0,None,0
111,I-10,1,None,0,None,0
112,I-10,1,None,0,None,0
113,I-10,1,None,0,None,0
114,I-10,1,None,0,None,0
115,I-10,1,None,0,None,0
116,I-10,1,None,0,None,0
117,I-10,1,None,0,None,0
118,I-10,1,None,0,None,0
119,I-10,1,None,0,None,0
120,SR 30,1,None,0,None,0
121,"I-10,I-110",1,None,0,None,0
122,"I-10,I-110",1,None,0,None,0
123,"I-10,I-110",1,None,0,None,0
124,I-110,1,None,0,None,0
125,I-110,1,None,0,None,0
126,I-10,1,None,0,None,0
127,I-10,1,None,0,None,0
128,None,0,None,0,None,0
129,None,0,None,0,None,0
130,None,0,None,0,ocala,1
131,None,0,None,0,None,0
132,None,0,None,0,ocala,1
133,None,0,None,0,None,0
134,None,0,None,0,None,0
135,None,0,None,0,None,0
136,None,0,None,0,None,0
137,None,0,None,0,None,0
138,None,0,None,0,lee,1
139,None,0,None,0,None,0
140,None,0,None,0,None,0
141,None,0,None,0,None,0
142,"I-75,I-4",1,None,0,None,0
143,US 441,1,None,0,"alachua,micanopy",1
144,US 441,1,None,0,"alachua,micanopy",1
145,I-75,1,None,0,None,0
146,I-75,1,None,0,None,0
147,"I-95,SR 524",1,None,0,None,0
148,I-75,1,None,0,None,0
149,"I-95,SR 40",1,None,0,None,0
150,"I-95,SR 524",1,None,0,None,0
151,I-75,1,None,0,None,0
152,US 1,1,None,0,None,0
153,SR 112,1,None,0,miami,1
154,US 1,1,None,0,miami,1
155,SR 112,1,None,0,miami,1
156,US 1,1,None,0,None,0
157,"I-95,SR 40",1,None,0,None,0
158,None,0,None,0,None,0
159,I-75,1,None,0,None,0
160,US 441,1,None,0,None,0
161,None,0,None,0,None,0
162,None,0,None,0,jacksonville,1
163,"I-75,I-4",1,None,0,None,0
164,SR 202,1,None,0,None,0
165,I-4,1,None,0,None,0
166,I-75,1,None,0,None,0
167,I-275,1,None,0,None,0
168,I-75,1,None,0,None,0
169,I-75,1,None,0,None,0
170,I-95,1,None,0,None,0
171,I-95,1,None,0,None,0
172,I-95,1,None,0,None,0
173,"SR 836,I-95",1,None,0,miami,1
174,SR 826,1,None,0,miami,1
175,I-95,1,None,0,None,0
176,I-75,1,None,0,alachua,1
177,SR 408,1,None,0,None,0
178,I-10,1,None,0,None,0
179,SR 408,1,None,0,None,0
180,I-10,1,None,0,None,0
181,I-10,1,None,0,None,0
