,Other_Road_List
0,"tomor row,5pm tomor row"
1,"obje court,updated: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,rig heights,88 rig heights,right lane,88 right lane,la street,blocked la street"
2,"obje court,updated: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,rig heights,88 rig heights,right lane,88 right lane,la street,blocked la street"
3,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,rig heights,88 rig heights,right lane,88 right lane,la street,blocked la street"
4,"rig heights,1 rig heights,right lane,1 right lane,la street,blocked la street"
5,"w estate,i-10 w estate,we street,i-10 we street,rig heights,us-29 rig heights,la street,blocked la street"
6,"w estate,i-10 w estate,we street,i-10 we street,rig heights,us-29 rig heights,right lane,us-29 right lane,la street,blocked la street"
7,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,rig heights,121 rig heights,right lane,121 right lane,la street,blocked la street"
8,"ea street,i-10 ea street,le fort,49 le fort,left lane,49 left lane,la street,blocked la street"
9,"ea street,i-10 ea street,le fort,49 le fort,left lane,49 left lane,la street,blocked la street"
10,"w estate,i-10 w estate,we street,i-10 we street,le fort,2 le fort,la street,blocked la street"
11,"ea street,i-10 ea street,le fort,152 le fort,left lane,152 left lane,la street,blocked la street"
12,"w estate,i-10 w estate,we street,i-10 we street,le fort,i-110 le fort,left lane,i-110 left lane,la street,blocked la street"
13,"ea street,i-10 ea street,le fort,49 le fort,left lane,49 left lane,la street,blocked la street"
14,"w estate,i-10 w estate,we street,i-10 we street,rig heights,holt rig heights,right lane,holt right lane,la street,blocked la street"
15,"ea street,i-10 ea street,le fort,152 le fort,left lane,152 left lane,la street,blocked la street"
16,"ea street,i-10 ea street,le fort,49 le fort,left lane,49 left lane,la street,blocked la street"
17,"w estate,i-10 w estate,we street,i-10 we street,rig heights,holt rig heights,right lane,holt right lane,la street,blocked la street"
18,"w estate,i-10 w estate,we street,i-10 we street,off- ramp,153 off- ramp,rig heights,off-ramp rig heights,rig heights,blocked rig heights,right lane,blocked right lane"
19,"w estate,i-10 w estate,we street,i-10 we street,off- ramp,153 off- ramp,rig heights,off-ramp rig heights,rig heights,blocked rig heights,right lane,blocked right lane"
20,"ea street,i-10 ea street,le fort,us-29 le fort,left lane,us-29 left lane,la street,blocked la street"
21,"ea street,i-10 ea street,dav island,13 dav island,da vista,13 da vista,davis highway,13 davis highway,h way,davis h way,le fort,hwy le fort,left lane,hwy left lane,la street,blocked la street"
22,"ea street,i-10 ea street,dav island,13 dav island,da vista,13 da vista,davis highway,13 davis highway,h way,davis h way,le fort,hwy le fort,left lane,hwy left lane,la street,blocked la street"
23,"rig heights,3 rig heights,right lane,3 right lane,la street,blocked la street"
24,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,rig heights,122 rig heights,right lane,122 right lane,la street,blocked la street"
25,"rig heights,2 rig heights,right lane,2 right lane,la street,blocked la street"
26,"obje court,updated: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,le fort,171 le fort,left lane,171 left lane,la street,blocked la street"
27,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,rig heights,126 rig heights,right lane,126 right lane,la street,blocked la street"
28,"ea street,i-10 ea street,rig heights,150 rig heights,right lane,150 right lane,la street,blocked la street"
29,"w estate,i-10 w estate,we street,i-10 we street,rig heights,151 rig heights,right lane,151 right lane,la street,blocked la street"
30,"w estate,i-10 w estate,we street,i-10 we street,le fort,50 le fort,left lane,50 left lane,la street,blocked la street"
31,"ea street,i-10 ea street,le fort,49 le fort,left lane,49 left lane,la street,blocked la street"
32,"le fort,2 le fort,left lane,2 left lane,la street,blocked la street"
33,"ea street,i-10 ea street,rig heights,150 rig heights,right lane,150 right lane,la street,blocked la street"
34,"w estate,i-10 w estate,we street,i-10 we street,rig heights,151 rig heights,right lane,151 right lane,la street,blocked la street"
35,"ea street,i-10 ea street,le fort,49 le fort,left lane,49 left lane,la street,blocked la street"
36,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
37,"w estate,i-10 w estate,we street,i-10 we street,le fort,50 le fort,left lane,50 left lane,la street,blocked la street"
38,"w estate,i-10 w estate,we street,i-10 we street,le fort,50 le fort,left lane,50 left lane,la street,blocked la street"
39,"w estate,i-10 w estate,we street,i-10 we street,le fort,50 le fort,left lane,50 left lane,la street,blocked la street"
40,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
41,"w estate,i-10 w estate,we street,i-10 we street,rig heights,holt rig heights,right lane,holt right lane,la street,blocked la street"
42,"w estate,i-10 w estate,we street,i-10 we street,rig heights,holt rig heights,right lane,holt right lane,la street,blocked la street"
43,"rig heights,2 rig heights,right lane,2 right lane,la street,blocked la street"
44,"ea street,i-10 ea street,le fort,us-29 le fort,left lane,us-29 left lane,la street,blocked la street"
45,"w estate,i-10 w estate,we street,i-10 we street,rig heights,151 rig heights,right lane,151 right lane,la street,blocked la street"
46,"ea street,i-10 ea street,le fort,49 le fort,left lane,49 left lane,la street,blocked la street"
47,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
48,"ea street,i-10 ea street,rig heights,150 rig heights,right lane,150 right lane,la street,blocked la street"
49,"w estate,i-10 w estate,we street,i-10 we street,bay bridge,escambia bay bridge,le fort,brg le fort,left lane,brg left lane,la street,blocked la street"
50,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,avalon boulevard,before avalon boulevard,le fort,blvd le fort,left lane,blvd left lane,la street,blocked la street"
51,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,rig heights,185 rig heights,right lane,185 right lane,la street,blocked la street"
52,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,le fort,182 le fort,left lane,182 left lane,la street,blocked la street"
53,"ea street,i-10 ea street,rig heights,176 rig heights,right lane,176 right lane,la street,blocked la street"
54,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,le fort,153 le fort,left lane,153 left lane,la street,blocked la street"
55,"rig heights,4 rig heights,right lane,4 right lane,la street,blocked la street"
56,"rig heights,2 rig heights,right lane,2 right lane,la street,blocked la street"
57,"rig heights,3 rig heights,right lane,3 right lane,la street,blocked la street"
58,"w estate,i-10 w estate,we street,i-10 we street,le fort,95 le fort,left lane,95 left lane,la street,blocked la street"
59,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,rig heights,174 rig heights,right lane,174 right lane,la street,blocked la street"
60,"bayfront parkway,at bayfront parkway,pk way,bayfront pk way,rig heights,pkwy rig heights,right lane,pkwy right lane,la street,blocked la street"
61,"ea street,i-10 ea street,rig heights,122 rig heights,right lane,122 right lane,la street,blocked la street"
62,"ea street,i-10 ea street,rig heights,122 rig heights,right lane,122 right lane,la street,blocked la street"
63,"obje court,updated: obje court,road way,on road way,ea street,i-10 ea street,le fort,68 le fort,left lane,68 left lane,la street,blocked la street"
64,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,le fort,68 le fort,left lane,68 left lane,la street,blocked la street"
65,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,rig heights,107 rig heights,right lane,107 right lane,la street,blocked la street"
66,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
67,"w estate,i-10 w estate,we street,i-10 we street,scenic highway,17 scenic highway,h way,scenic h way,rig heights,2 rig heights,la street,blocked la street"
68,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
69,"rig heights,3 rig heights,right lane,3 right lane,la street,blocked la street"
70,"ea street,i-10 ea street,le fort,79 le fort,left lane,79 left lane,la street,blocked la street"
